C0008301  Choking
C2160038  eschar on nasolabial groove
C2160067  eschars were seen on the angular commissure
C2160068  eschars were seen on the angular commissure on the right
C2160069  eschars were seen on the angular commissure on the left
C2160440  eschar on anterior heel of right foot (physical finding)
C2160451  eschar on anterior heel of left foot
C2160630  lichenification face nose right
C2160631  lichenification of left side of nose
C2160641  lichenification of dorsum of nose
C2160642  lichenification of tip of nose (physical finding)
C2160643  lichenification face nose tip right
C2160644  lichenification of left side of tip of nose (physical finding)
C2160645  lichenification of nostril (physical finding)
C2160646  lichenification of right nostril (physical finding)
C2160647  lichenification of left nostril (physical finding)
C2160648  lichenification face nose nostril both
C2160649  lichenification of columella of nose
C2160650  lichenification of nasolabial groove (physical finding)
C2161241  exfoliation of right side of nose (physical finding)
C2161242  exfoliation of left side of nose (physical finding)
C2161252  exfoliation of dorsum of nose (physical finding)
C2161253  exfoliation of tip of nose (physical finding)
C2161254  exfoliation of right side of tip of nose
C2161255  exfoliation of left side of tip of nose
C2161256  exfoliation of nostril (physical finding)
C2161257  exfoliation of right nostril (physical finding)
C2161258  exfoliation of left nostril (physical finding)
C2161259  exfoliation of both nostrils (physical finding)
C2161260  exfoliation of columella of nose
C2161261  exfoliation of nasolabial groove
C2161851  scales on nose (physical finding)
C2161852  scales on right side of nose (physical finding)
C2161853  scales on left side of nose (physical finding)
C2161854  scales on both sides of nose
C2161855  scales on the face nose ala nasi
C2161856  scales on right ala nasi (physical finding)
C2161857  scales on left ala nasi (physical finding)
C2161858  scales on the face nose ala nasi both
C2161859  scales on alar groove
C2161860  scales on right alar groove (physical finding)
C2161861  scales on left alar groove
C2161862  scales on both alar grooves (physical finding)
C2161863  scales on dorsum of nose (physical finding)
C2161864  scales on the face nose tip
C2161865  scales on right side of tip of nose
C2161866  scales on left side of tip of nose (physical finding)
C2161867  scales on nostril
C2161868  scales on right nostril (physical finding)
C2161869  scales on left nostril (physical finding)
C2161870  scales on the face nose nostril both
C2161871  scales on columella of nose
C2161872  scales on nasolabial groove (physical finding)
C2161873  scales on paranasal fold (physical finding)
C2161874  scales on right paranasal fold
C2161875  scales on right upper paranasal fold (physical finding)
C2161876  scales on right lower paranasal fold (physical finding)
C2161877  scales on left paranasal fold
C2161878  scales on left upper paranasal fold (physical finding)
C2161879  scales on the face the paranasal folds left lower (inferior)
C2161880  scales on both paranasal folds
C2161900  scales were seen on the angular commissure
C2161901  scales were seen on the angular commissure on the right
C2161902  scales were seen on the angular commissure on the left
C2162463  ulcer of right side of nose
C2162464  ulcer on left side of nose
C2162465  ulcer of both sides of nose (physical finding)
C2162466  ulcer on ala nasi
C2162467  ulcer of right ala nasi (physical finding)
C2162468  ulcer of left ala nasi
C2162469  ulcer of both ala nasi
C2162470  ulcer of alar groove (physical finding)
C2162471  ulcer of right alar groove
C2162472  ulcer of left alar groove (physical finding)
C2162473  ulcer of both alar grooves (physical finding)
C2162474  ulcer on dorsum of nose
C2162475  ulcer of tip of nose (physical finding)
C2162476  ulcer of right side of tip of nose (physical finding)
C2162477  ulcer of left side of tip of nose (physical finding)
C2162478  ulcer on nostril
C2162479  ulcer in right nostril
C2162480  ulcer of left nostril (physical finding)
C2162481  ulcer of both nostrils (physical finding)
C2162482  ulcer of columella of nose (physical finding)
C2162483  ulcer of nasolabial groove
C2162881  crusts on left upper paranasal fold (physical finding)
C2162933  crusts on nasolabial groove (physical finding)
C2162936  crusts on nose (physical finding)
C2162937  crusts on nostril (physical finding)
C2162951  crusts on paranasal fold (physical finding)
C2163006  crusts on right ala nasi (physical finding)
C2163007  crusts on right alar groove
C2163051  crusts on right lower paranasal fold (physical finding)
C2163062  crusts on right nostril (physical finding)
C2163064  crusts on right paranasal fold
C2163071  crusts on right side of nose
C2163074  crusts on right side of tip of nose (physical finding)
C2163088  crusts on right upper paranasal fold (physical finding)
C2163108  crusts on both sides of nose (physical finding)
C2163137  crusts on tip of nose (physical finding)
C2164352  decreased breath sounds unilaterally left lung base
C2164353  decreased breath sounds in both lungs
C2164354  decreased breath sounds unilaterally (physical finding)
C2164355  decreased breath sounds of left lung
C2164356  decreased breath sounds at left apex (physical finding)
C2164357  decreased breath sounds in left mid-lung field (physical finding)
C2164358  decreased breath sounds in right lung (physical finding)
C2164359  decreased breath sounds at right apex (physical finding)
C2164360  decreased breath sounds at right base
C2164361  decreased breath sounds in right mid-lung field (physical finding)
C2164822  degree of burns of chin (physical finding)
C2164839  degree of burns of nose
C2165476  the patient wore fixed lower dentures
C2165477  fixed lower dentures from specified tooth (#___) (physical finding)
C2165478  fixed lower dentures to specified tooth (#___)
C2165479  removable lower dentures (physical finding)
C2165480  the patient wore removable full lower dentures
C2165481  removable partial lower dentures for specified tooth (#___)
C2165482  the patient wore removable partial lower dentures
C2165483  removable partial lower dentures to specified tooth (#___)
C2165484  the patient wore upper and lower dentures
C2165485  the patient wore fixed upper dentures
C2165486  fixed upper dentures from specified tooth (#___)
C2165487  fixed upper dentures to specified tooth (#___)
C2165490  removable upper dentures (physical finding)
C2165491  the patient wore removable full upper dentures
C2165492  removable partial upper dentures from specified tooth (#___)
C2168552  lesions on both nasal vestibules
C2168553  lesions on the left nasal vestibule
C2168554  lesions on the right nasal vestibule
C2168559  lesion of alar sill
C2168560  lesions on both alar sills
C2168561  lesions on the left alar sill
C2168562  lesions on the right alar sill
C2168563  lesions on the nasal root
C2168564  lesion of nasal wall (physical finding)
C2168565  lesion of soft triangle of nose
C2168566  lesion of soft triangle of nose bilaterally (physical finding)
C2168567  lesion of soft triangle of left side of nose (physical finding)
C2168568  lesion of soft triangle of right side of nose (physical finding)
C2168569  lesion of supratip of nose (physical finding)
C2168570  lesion of nasal vestibule
C2169316  rales or crackles in left lung
C2169317  rales or crackles in right lung (physical finding)
C2169544  recent difficulty breathing
C2169545  recent difficulty breathing with rapid progression
C2169546  new onset sudden onset dyspnea
C2169795  recurrent bronchopulmonary infections
C2169799  recurrent episodes of acute difficulty breathing (symptom)
C2169800  recurrent episodes of coughing up blood
C2169808  recurrent upper respiratory infections during childhood (history)
C2169984  removable partial lower dentures from specified tooth (#___) (physical finding)
C2170746  tuberculosis of tonsils bacteriology and histology not done
C2170747  tuberculosis of tonsils bacteriology and histology unknown (diagnosis)
C2171351  ulcer of ala nasi (#___) (physical finding)
C2171352  depth of ulcer of ala nasi
C2171353  ulcer of ala nasi stage (physical finding)
C2171354  ulcer of ala nasi stage I
C2171355  ulcer of ala nasi stage II (physical finding)
C2171356  ulcer of ala nasi stage III (physical finding)
C2171357  ulcer of ala nasi stage IV
C2171358  ulcer of ala nasi surrounded by callus (physical finding)
C2171359  ulcer of ala nasi tissue base
C2171360  ulcer of ala nasi tissue base fibrosis
C2171361  ulcer of ala nasi tissue base gangrene (physical finding)
C2171362  ulcer of ala nasi tissue base granulation
C2171363  ulcer of ala nasi tissue base necrosis
C2171364  width of ulcer of ala nasi (physical finding)
C2171365  ulcer of ala nasi with atrophic unbroken skin (physical finding)
C2171366  ulcer of ala nasi with deep abscess
C2171367  ulcer of ala nasi with full thickness skin loss
C2171368  ulcer of ala nasi with nonblanching erythema (physical finding)
C2171369  ulcer of ala nasi with partial thickness skin loss
C2171370  ulcer of ala nasi with skin loss
C2171371  ulcer of ala nasi with subcutaneous necrosis
C2171372  ulcer of ala nasi with subcutaneous tissue exposed
C2171373  ulcer of alar groove (#___)
C2171374  depth of ulcer of alar groove (physical finding)
C2171375  ulcer of alar groove stage (physical finding)
C2171376  ulcer of alar groove stage I
C2171377  ulcer of alar groove stage II (physical finding)
C2171378  ulcer of alar groove stage III (physical finding)
C2171379  ulcer of alar groove stage IV
C2171380  ulcer of alar groove surrounded by callus (physical finding)
C2171381  ulcer of alar groove tissue base (physical finding)
C2171382  ulcer of alar groove tissue base fibrosis
C2171383  ulcer of alar groove tissue base gangrene (physical finding)
C2171384  ulcer of alar groove tissue base granulation
C2171385  ulcer of alar groove tissue base necrosis (physical finding)
C2171386  width of ulcer of alar groove
C2171387  ulcer of alar groove with atrophic unbroken skin
C2171388  ulcer of alar groove with deep abscess (physical finding)
C2171389  ulcer of alar groove with full thickness skin loss
C2171390  ulcer of alar groove with nonblanching erythema
C2171391  ulcer of alar groove with partial thickness skin loss (physical finding)
C2171392  ulcer of alar groove with skin loss (physical finding)
C2171393  ulcer of alar groove with subcutaneous necrosis (physical finding)
C2171394  ulcer of alar groove with subcutaneous tissue exposed (physical finding)
C2171570  ulcer of columella (#___) (physical finding)
C2171571  depth of ulcer of columella (physical finding)
C2171572  ulcer of columella stage
C2171573  ulcer of columella stage I
C2171574  ulcer of columella stage II (physical finding)
C2171575  ulcer of columella stage III (physical finding)
C2171576  ulcer of columella stage IV (physical finding)
C2171577  ulcer of columella surrounded by callus (physical finding)
C2171578  ulcer of columella tissue base (physical finding)
C2171579  ulcer of columella tissue base fibrosis (physical finding)
C2171580  ulcer of columella tissue base gangrene (physical finding)
C2171581  ulcer of columella tissue base granulation
C2171582  ulcer of columella tissue base necrosis
C2171583  width of ulcer columella (physical finding)
C2171584  ulcer of columella with atrophic unbroken skin (physical finding)
C2171585  ulcer of columella with deep abscess (physical finding)
C2171586  ulcer of columella with full thickness skin loss
C2171587  ulcer of columella with nonblanching erythema (physical finding)
C2171588  ulcer of columella with partial thickness skin loss (physical finding)
C2171589  ulcer of columella with skin loss (physical finding)
C2171590  ulcer of columella with subcutaneous necrosis (physical finding)
C2171591  ulcer of columella with subcutaneous tissue exposed (physical finding)
C2171638  ulcer of dorsum of nose (#___)
C2171639  depth of ulcer of dorsum of nose (physical finding)
C2171640  ulcer of dorsum of nose stage (physical finding)
C2171641  ulcer of dorsum of nose stage I (physical finding)
C2171642  ulcer of dorsum of nose stage II
C2171643  ulcer of dorsum of nose stage III
C2171644  ulcer of dorsum of nose stage IV
C2171645  ulcer of dorsum of nose surrounded by callus (physical finding)
C2171646  ulcer of dorsum of nose tissue base (physical finding)
C2171647  ulcer of dorsum of nose tissue base fibrosis
C2171648  ulcer of dorsum of nose tissue base gangrene
C2171649  ulcer of dorsum of nose tissue base granulation
C2171650  ulcer of dorsum of nose tissue base necrosis
C2171651  width of ulcer of dorsum of nose (physical finding)
C2171652  ulcer of dorsum of nose with atrophic unbroken skin (physical finding)
C2171653  ulcer of dorsum of nose with deep abscess
C2171654  ulcer of dorsum of nose with full thickness skin loss (physical finding)
C2171655  ulcer of dorsum of nose with nonblanching erythema
C2171656  ulcer of dorsum of nose with partial thickness skin loss (physical finding)
C2171657  ulcer of dorsum of nose with skin loss
C2171658  ulcer of dorsum of nose with subcutaneous necrosis
C2171659  ulcer of dorsum of nose with subcutaneous tissue exposed
C2172281  ulcer of left side of nose (#___) (physical finding)
C2172292  depth of ulcer of left side of nose (physical finding)
C2172293  ulcer of left side of nose stage
C2172294  ulcer of left side of nose stage I
C2172295  ulcer of left side of nose stage II (physical finding)
C2172296  ulcer of left side of nose stage III
C2172297  ulcer of left side of nose stage IV (physical finding)
C2172298  ulcer of left side of nose surrounded by callus
C2172299  ulcer of left side of nose tissue base
C2172300  ulcer of left side of nose tissue base fibrosis
C2172301  ulcer of left side of nose tissue base gangrene (physical finding)
C2172302  ulcer of left side of nose tissue base granulation (physical finding)
C2172303  ulcer of left side of nose tissue base necrosis (physical finding)
C2172304  width of ulcer of left side of nose (physical finding)
C2172305  ulcer of left side of nose with atrophic unbroken skin (physical finding)
C2172306  ulcer of left side of nose with deep abscess
C2172307  ulcer of left side of nose with full thickness skin loss (physical finding)
C2172308  ulcer of left side of nose with nonblanching erythema (physical finding)
C2172309  ulcer of left side of nose with partial thickness skin loss (physical finding)
C2172310  ulcer of left side of nose with skin loss (physical finding)
C2172311  ulcer of left side of nose with subcutaneous necrosis (physical finding)
C2172312  ulcer of left side of nose with subcutaneous tissue exposed (physical finding)
C2172430  ulcer of nasolabial groove (#___) (physical finding)
C2172431  depth of ulcer of nasolabial groove (physical finding)
C2172432  ulcer of nasolabial groove full thickness (physical finding)
C2172433  multiple ulcers of nasolabial groove (physical finding)
C2172434  ulcer of nasolabial groove stage
C2172435  ulcer of nasolabial groove stage I (physical finding)
C2172436  ulcer of nasolabial groove stage II (physical finding)
C2172437  ulcer of nasolabial groove stage III (physical finding)
C2172438  ulcer of nasolabial groove stage IV (physical finding)
C2172439  ulcer of nasolabial groove surrounded by callus (physical finding)
C2172440  ulcer of nasolabial groove tissue base (physical finding)
C2172441  ulcer of nasolabial groove tissue base fibrosis
C2172442  ulcer of nasolabial groove tissue base gangrene (physical finding)
C2172443  ulcer of nasolabial groove tissue base granulation (physical finding)
C2172444  ulcer of nasolabial groove tissue base necrosis (physical finding)
C2172445  width of ulcer of nasolabial groove
C2172446  ulcer of nasolabial groove with atrophic unbroken skin (physical finding)
C2172447  ulcer of nasolabial groove with deep abscess (physical finding)
C2172448  ulcer of nasolabial groove with full thickness skin loss (physical finding)
C2172449  ulcer of nasolabial groove with nonblanching erythema (physical finding)
C2172450  ulcer of nasolabial groove with partial thickness skin loss
C2172451  ulcer of nasolabial groove with skin loss (physical finding)
C2172452  ulcer of nasolabial groove with subcutaneous necrosis
C2172453  ulcer of nasolabial groove with subcutaneous tissue exposed
C2172477  ulcer of nostril (#___)
C2172478  depth of ulcer of nostril
C2172479  ulcer of nostril stage
C2172480  ulcer of nostril stage I
C2172481  ulcer of nostril stage II (physical finding)
C2172482  ulcer of nostril stage III
C2172483  ulcer of nostril stage IV (physical finding)
C2172484  ulcer of nostril surrounded by callus (physical finding)
C2172485  ulcer of nostril tissue base (physical finding)
C2172486  ulcer of nostril tissue base fibrosis
C2172487  ulcer of nostril tissue base gangrene
C2172488  ulcer of nostril tissue base granulation (physical finding)
C2172489  ulcer of nostril tissue base necrosis (physical finding)
C2172490  width of ulcer of nostril (physical finding)
C2172491  ulcer of nostril with atrophic unbroken skin
C2172492  ulcer of nostril with deep abscess (physical finding)
C2172493  ulcer of nostril with full thickness skin loss
C2172494  ulcer of nostril with nonblanching erythema (physical finding)
C2172495  ulcer of nostril with partial thickness skin loss (physical finding)
C2172496  ulcer of nostril with skin loss (physical finding)
C2172497  ulcer of nostril with subcutaneous necrosis
C2172498  ulcer of nostril with subcutaneous tissue exposed
C2173115  ulcer of right side of nose (#___) (physical finding)
C2173126  depth of ulcer of right side of nose (physical finding)
C2173127  ulcer of right side of nose stage (physical finding)
C2173128  ulcer of right side of nose stage I
C2173129  ulcer of right side of nose stage II (physical finding)
C2173130  ulcer of right side of nose stage III
C2173131  ulcer of right side of nose stage IV (physical finding)
C2173132  ulcer of right side of nose surrounded by callus (physical finding)
C2173133  ulcer of right side of nose tissue base
C2173134  ulcer of right side of nose tissue base fibrosis
C2173135  ulcer of right side of nose tissue base gangrene
C2173136  ulcer of right side of nose tissue base granulation
C2173137  ulcer of right side of nose tissue base necrosis
C2173138  width of ulcer of right side of nose
C2173139  ulcer of right side of nose with atrophic unbroken skin (physical finding)
C2173140  ulcer of right side of nose with deep abscess (physical finding)
C2173141  ulcer of right side of nose with full thickness skin loss (physical finding)
C2173142  ulcer of right side of nose with nonblanching erythema (physical finding)
C2173143  ulcer of right side of nose with partial thickness skin loss
C2173144  ulcer of right side of nose with skin loss (physical finding)
C2173145  ulcer of right side of nose with subcutaneous necrosis (physical finding)
C2173146  ulcer of right side of nose with subcutaneous tissue exposed
C2173322  ulcer of tip of nose (#___) (physical finding)
C2173323  ulcer of nose tip depth
C2173324  ulcer of tip of nose stage (physical finding)
C2173325  ulcer of tip of nose stage I
C2173326  ulcer of tip of nose stage II (physical finding)
C2173327  ulcer of tip of nose stage III (physical finding)
C2173328  ulcer of tip of nose stage IV (physical finding)
C2173329  ulcer of tip of nose surrounded by callus (physical finding)
C2173330  ulcer of tip of nose tissue base
C2173331  ulcer of tip of nose tissue base fibrosis
C2173332  ulcer of tip of nose tissue base gangrene (physical finding)
C2173333  ulcer of tip of nose tissue base granulation (physical finding)
C2173334  ulcer of tip of nose tissue base necrosis
C2173335  ulcer of nose tip width
C2173336  ulcer of tip of nose with atrophic unbroken skin
C2173337  ulcer of tip of nose with deep abscess
C2173338  ulcer of tip of nose with full thickness skin loss (physical finding)
C2173339  ulcer of tip of nose with nonblanching erythema (physical finding)
C2173340  ulcer of tip of nose with partial thickness skin loss (physical finding)
C2173341  ulcer of tip of nose with skin loss (physical finding)
C2173342  ulcer of tip of nose with subcutaneous necrosis (physical finding)
C2173343  ulcer of tip of nose with subcutaneous tissue exposed
C2174669  nasal discharge rhinorrhea on the right
C2174670  nasal discharge rhinorrhea on the left
C2174671  nasal discharge rhinorrhea bilaterally
C2175660  desquamation of right side of nose (physical finding)
C2175661  desquamation of left side of nose
C2175671  desquamation of dorsum of nose
C2175672  desquamation of tip of nose
C2175673  desquamation of right side of tip of nose
C2175674  desquamation of left side of tip of nose
C2175675  desquamation of nostril (physical finding)
C2175676  desquamation of right nostril
C2175677  desquamation of left nostril (physical finding)
C2175678  desquamation of both nostrils (physical finding)
C2175679  desquamation of columella of nose (physical finding)
C2175680  desquamation of nasolabial groove (physical finding)
C2183160  bronchoscopy (diagnostic) left anterior segmental bronchial lumen extrinsic compress
C2183162  bronchoscopy (diagnostic) left anteromedial basilar segment bronchial lumen extrinsic compression
C2183164  bronchoscopy (diagnostic) left apicoposterior segment bronchial lumen extrinsic compress
C2183166  bronchoscopy (diagnostic) left inferior lingular bronchial lumen extrinsic compress
C2183168  bronchoscopy (diagnostic) left lateral basilar segment bronchial lumen extrinsic compression
C2183170  bronchoscopy (diagnostic) left lower superior segment bronchial lumen extrinsic compression
C2183172  bronchoscopy (diagnostic) left lung main stem bronchial lumen extrinsic compression
C2183174  bronchoscopy (diagnostic) left posterior basilar segment bronchial lumen extrinsic compression
C2183401  occurrence of difficulty breathing (symptom)
C2183402  difficulty breathing only when lying down on left side
C2183403  difficulty breathing only when lying down on right side
C2183404  difficulty breathing only while sitting up
C2183405  difficulty breathing while jogging or running
C2183406  difficulty breathing while walking inside
C2183407  difficulty breathing while walking on level ground (symptom)
C2183408  difficulty breathing while walking up steps and hills (symptom)
C2183682  diminished respiratory excursion (physical finding)
C2183683  diminished respiratory excursion bilaterally (physical finding)
C2183684  diminished respiratory excursion unilaterally
C2183685  diminished respiratory excursion unilaterally on left
C2183686  diminished respiratory excursion unilaterally on right
C2183694  diminished tactile fremitus (physical finding)
C2183813  discoloration of multiple teeth
C2183814  teeth discoloration single
C2184254  localized teeth discoloration
C2185933  hearing loss on left side only
C2185935  loss of hearing on the right side only
C2186937  agonal breathing was observed
C2186938  Ataxic respiration
C2186940  apneustic respiration was observed
C2186942  respiration rhythm and depth (physical finding)
C2187422  retromolar trigone abscess (___mm)
C2187427  edema of retromolar trigone (physical finding)
C2187468  mass of retromolar trigone
C2187469  nodule of retromolar trigone (physical finding)
C2187472  mass of retromolar trigone with bruit (physical finding)
C2187473  compressible mass of retromolar trigone (physical finding)
C2187474  cystic mass of retromolar trigone
C2187475  exophytic mass of retromolar trigone
C2187476  firm mass of retromolar trigone (physical finding)
C2187477  fixed mass of retromolar trigone (physical finding)
C2187478  fluctuant mass of retromolar trigone (physical finding)
C2187479  friable mass of retromolar trigone (physical finding)
C2187480  granulomatous mass of retromolar trigone (physical finding)
C2187481  hard mass of retromolar trigone
C2187482  hemorrhagic mass of retromolar trigone
C2187483  indurated mass of retromolar trigone (physical finding)
C2187484  nodular mass of retromolar trigone (physical finding)
C2187485  papillomatous mass of retromolar trigone (physical finding)
C2187486  pedunculated mass of retromolar trigone
C2187487  polypoid mass of retromolar trigone (physical finding)
C2187488  pulsatile mass of retromolar trigone
C2187489  sessile mass of retromolar trigone
C2187490  soft mass of retromolar trigone (physical finding)
C2187491  submucosal mass of retromolar trigone (physical finding)
C2187492  tender mass of retromolar trigone
C2187493  ulcerated mass of retromolar trigone
C2188224  unusually slow breathing rate
C2195795  maceration on right side of nose (physical finding)
C2195796  maceration on left side of nose
C2195797  maceration on both sides of nose (physical finding)
C2196184  voice resonance cul-de-sac (physical finding)
C2197245  bleeding of maxillary gingiva
C2197246  bleeding of mandibular gingiva (physical finding)
C2197247  bleeding of buccal surface of maxillary gingiva on right (physical finding)
C2197248  bleeding of buccal surface of maxillary gingiva on left
C2197249  bleeding of palatal surface of lower gums
C2197250  bleeding of palatal surface of lower gums anteriorly
C2197251  bleeding of palatal surface of lower gums on right
C2197252  bleeding of palatal surface of maxillary gingiva on left
C2197253  bleeding of buccal surface of mandibular gingiva on right (physical finding)
C2197254  bleeding of buccal surface of mandibular gingiva on left
C2197255  bleeding of lingual surface of mandibular gingiva anteriorly (physical finding)
C2197256  bleeding of lingual surface of mandibular gingiva
C2197257  bleeding of lingual surface of mandibular gingiva on right (physical finding)
C2197258  bleeding of lingual surface of upper gums on left
C2197283  1st supernumerary tooth at position no. ___
C2199190  rales / crackles dry
C2200426  rhonchi were heard bilaterally at the anterior axillary lines
C2200427  bilateral rhonchi were heard laterally
C2200428  bilateral rhonchi were heard medially
C2200429  bilateral rhonchi were heard medially and anteriorly
C2200430  bilateral rhonchi were heard medially and posteriorly
C2200431  rhonchi were heard bilaterally at the mid-axillary lines
C2200432  rhonchi were heard bilaterally at the mid-clavicular lines
C2200433  rhonchi were heard bilaterally at the mid-scapular lines
C2200434  rhonchi were heard bilaterally at the posterior axillary lines
C2200435  rhonchi left anterior axillary line
C2200436  rhonchi left laterally
C2200437  rhonchi left mid-axillary line
C2200438  rhonchi left mid-clavicular line
C2200439  rhonchi left mid-scapular line
C2200440  rhonchi left posterior axillary line
C2200441  rhonchi right anterior axillary line
C2200442  rhonchi right mid-axillary line
C2200443  rhonchi right mid-clavicular line
C2200444  rhonchi right mid-scapular line
C2200445  rhonchi right posterior axillary line
C2200446  rhonchi were heard on the left medially
C2200447  rhonchi were heard on the left medially and anteriorly
C2200448  rhonchi were heard on the left medially and posteriorly
C2200449  rhonchi left
C2200450  rhonchi right
C2200451  rhonchi were heard on the right laterally
C2200452  rhonchi were heard on the right medially
C2200453  rhonchi were heard on the right medially and anteriorly
C2200454  rhonchi were heard on the right medially and posteriorly
C2201083  ultrasound breast abscess right breast
C2201084  ultrasound abscess right breast inferior lateral quadrant
C2201085  ultrasound abscess right breast inferior medial quadrant
C2201086  ultrasound abscess right breast superior lateral quadrant
C2201087  ultrasound abscess right breast superior medial quadrant
C2201124  bronchial breath sounds on the right
C2201126  bronchophony on the right
C2201169  tenderness of right chest
C2201170  tenderness of right chest at anterior axillary line
C2201171  tenderness of right chest at mid-axillary line (physical finding)
C2201172  tenderness of right chest at mid-clavicular line (physical finding)
C2201173  tenderness of right chest at specified rib (#___) (physical finding)
C2201174  tenderness of right chest extending to specified rib (#___) (physical finding)
C2203150  rales / crackles wet
C2203170  wheezing was heard bilaterally at the anterior axillary lines
C2203171  bilateral wheezing was heard laterally
C2203172  bilateral wheezing was heard medially
C2203173  bilateral wheezing was heard medially and anteriorly
C2203174  bilateral wheezing was heard medially and posteriorly
C2203175  wheezing was heard bilaterally at the mid-axillary lines
C2203176  wheezing was heard bilaterally at the mid-clavicular lines
C2203177  wheezing was heard bilaterally at the mid-scapular lines
C2203178  wheezing was heard bilaterally at the posterior axillary lines
C2203186  wheezing was heard on the left
C2203187  wheezing was heard on the left at the anterior axillary line
C2203188  wheezing was heard on the left laterally
C2203189  wheezing was heard on the left medially
C2203190  wheezing was heard on the left medially and anteriorly
C2203191  wheezing was heard on the left medially and posteriorly
C2203192  wheezing was heard on the left at the mid-axillary line
C2203193  wheezing was heard on the left at the mid-clavicular line
C2203194  wheezing was heard on the left at the mid-scapular line
C2203195  wheezing was heard on the left at the posterior axillary line
C2203196  wheezing was heard on the right
C2203197  wheezing was heard on the right at the anterior axillary line
C2203198  wheezing was heard on the right laterally
C2203199  wheezing was heard on the right medially
C2203200  wheezing was heard on the right medially and anteriorly
C2203201  wheezing was heard on the right medially and posteriorly
C2203202  wheezing was heard on the right at the mid-axillary line
C2203203  wheezing was heard on the right at the mid-clavicular line
C2203204  wheezing was heard on the right at the mid-scapular line
C2203205  wheezing was heard on the right at the posterior axillary line
C2203212  whispered pectoriloquy was heard bilaterally
C2203213  whispered pectoriloquy was heard bilaterally at the anterior axillary lines
C2203214  whispered pectoriloquy was heard bilaterally at the apices
C2203215  whispered pectoriloquy was heard bilaterally at the bases
C2203216  bilateral whispered pectoriloquy was heard laterally
C2203217  bilateral whispered pectoriloquy was heard medially
C2203218  bilateral whispered pectoriloquy was heard medially and anteriorly
C2203219  bilateral whispered pectoriloquy was heard medially and posteriorly
C2203220  whispered pectoriloquy was heard bilaterally at the mid-axillary lines
C2203221  whispered pectoriloquy was heard bilaterally at the mid-clavicular lines
C2203222  whispered pectoriloquy was heard bilaterally in the midlung fields
C2203223  whispered pectoriloquy was heard bilaterally at the mid-scapular lines
C2203224  whispered pectoriloquy was heard bilaterally at the posterior axillary lines
C2203225  whispered pectoriloquy was heard on the left at the anterior axillary line
C2203226  whispered pectoriloquy was heard on the left at the apex
C2203227  whispered pectoriloquy was heard on the left at the base
C2203228  whispered pectoriloquy was heard on the left laterally
C2203229  whispered pectoriloquy was heard on the left medially
C2203230  whispered pectoriloquy was heard on the left medially and anteriorly
C2203231  whispered pectoriloquy was heard on the left medially and posteriorly
C2203232  whispered pectoriloquy was heard on the left at the mid-axillary line
C2203233  whispered pectoriloquy was heard on the left at the mid-clavicular line
C2203234  whispered pectoriloquy was heard on the left in the midlung field
C2203235  whispered pectoriloquy was heard on the left at the mid-scapular line
C2203236  whispered pectoriloquy was heard on the left at the posterior axillary line
C2203237  whispered pectoriloquy was heard on the left
C2203238  whispered pectoriloquy was heard on the right
C2203239  whispered pectoriloquy was heard on the right at the anterior axillary line
C2203240  whispered pectoriloquy was heard on the right at the apex
C2203241  whispered pectoriloquy was heard on the right at the base
C2203242  whispered pectoriloquy was heard on the right laterally
C2203243  whispered pectoriloquy was heard on the right medially
C2203244  whispered pectoriloquy was heard on the right medially and anteriorly
C2203245  whispered pectoriloquy was heard on the right medially and posteriorly
C2203246  whispered pectoriloquy was heard on the right at the mid-axillary line
C2203247  whispered pectoriloquy was heard on the right at the mid-clavicular line
C2203248  whispered pectoriloquy was heard on the right in the midlung field
C2203249  whispered pectoriloquy was heard on the right at the mid-scapular line
C2203250  whispered pectoriloquy was heard on the right at the posterior axillary line
C2203277  wine-stained teeth
C2205961  x-ray of skull, Water's view: air fluid level in maxillary sinus
C2205975  x-ray of skull, Water's view: air fluid level in right maxillary sinus (procedure)
C2205976  x-ray of skull, Water's view: air fluid level in left maxillary sinus (procedure)
C2205977  x-ray of skull, Water's view: air fluid level in maxillary sinus bilaterally (procedure)
C2206274  bronchoscopy stricture of right main bronchus (procedure)
C2206275  bronchoscopy extrinsic compression of right main bronchus (procedure)
C2206277  bronchoscopy extrinsic compression of right apical segmental bronchus (procedure)
C2206279  bronchoscopy extrinsic compression of right upper lobe posterior segmental bronchus (procedure)
C2206281  bronchoscopy extrinsic compression of right upper lobe anterior segmental bronchus (procedure)
C2206283  bronchoscopy extrinsic compression of right middle lobe lateral segment bronchus (procedure)
C2206285  bronchoscopy extrinsic compression of right middle lobe medial segmental bronchus (procedure)
C2206287  bronchoscopy extrinsic compression of right lower lobe superior segmental bronchus (procedure)
C2206289  bronchoscopy extrinsic compression of right medial basal segmental bronchus (procedure)
C2206291  bronchoscopy extrinsic compression of right anterior basal segmental bronchus
C2206293  bronchoscopy extrinsic compression of right lateral basal segmental bronchus
C2206295  bronchoscopy extrinsic compression of right posterior basilar segmental bronchus (procedure)
C2206297  bronchoscopy extrinsic compression of left superior lingular bronchus (procedure)
C2207242  ultrasound breast abscess
C2215668  airway obstructed by fracture injury (physical finding)
C2215669  airway obstructed by soft tissue injury (physical finding)
C2215688  alcoholic breath (physical finding)
C2215730  bronchospasm due to contrast material
