C0002418  Amblyopia
C2175003  dot-blot hemorrhage of inner macula of left eye (physical finding)
C2175004  dot-blot hemorrhage of central aspect of macula of left eye (physical finding)
C2175005  dot-blot hemorrhage of midperipheral retina of left eye
C2175006  retina hemor dot-blot left midperipheral superior
C2175007  retina hemor dot-blot left midperipheral superotemporal
C2175008  retina hemor dot-blot left midperipheral temporal
C2175009  retina hemor dot-blot left midperipheral inferotemporal
C2175010  retina hemor dot-blot left midperipheral inferior
C2175011  retina hemor dot-blot left midperipheral inferonasal
C2175012  retina hemor dot-blot left midperipheral nasal
C2175013  retina hemor dot-blot left midperipheral superonasal
C2175014  dot-blot hemorrhage of far peripheral retina of left eye (physical finding)
C2175015  dot-blot hemorrhage of superior aspect of far peripheral retina of left eye
C2175016  dot-blot hemorrhage of superotemporal aspect of far peripheral retina of left eye
C2175017  dot-blot hemorrhage of temporal aspect of far peripheral retina of left eye (physical finding)
C2175018  dot-blot hemorrhage of inferotemporal aspect of far peripheral retina of left eye
C2175019  dot-blot hemorrhage of inferior aspect of far peripheral retina of left eye (physical finding)
C2175020  dot-blot hemorrhage of inferonasal aspect of far peripheral retina of left eye
C2175021  dot-blot hemorrhage of nasal aspect of far peripheral retina of left eye
C2175022  dot-blot hemorrhage of superonasal aspect of far peripheral retina of left eye
C2175023  dot-blot hemorrhage of retinas of both eyes
C2175024  subhyaloid hemorrhage of right eye (physical finding)
C2175025  subhyaloid hemorrhage of macular of right eye
C2175026  subhyaloid hemorrhage of upper macula of right eye
C2175027  subhyaloid hemorrhage of lower macula of right eye (physical finding)
C2175028  subhyaloid hemorrhage of outer macula of right eye
C2175029  subhyaloid hemorrhage of inner macula of right eye
C2175030  subhyaloid hemorrhage of central aspect of macula of right eye (physical finding)
C2175031  subhyaloid hemorrhage of midperipheral retina of right eye (physical finding)
C2175032  subhyaloid hemorrhage of far peripheral retina of right eye (physical finding)
C2175033  subhyaloid hemorrhage of left eye
C2175034  subhyaloid hemorrhage of macula of left eye (physical finding)
C2175035  subhyaloid hemorrhage of upper macula of left eye
C2175036  subhyaloid hemorrhage of lower macula of left eye
C2175037  subhyaloid hemorrhage of outer macula of left eye (physical finding)
C2175038  subhyaloid hemorrhage of inner macula of left eye
C2175039  subhyaloid hemorrhage of central aspect of macula of left eye (physical finding)
C2175040  subhyaloid hemorrhage of midperipheral retina of left eye
C2175041  subhyaloid hemorrhage of far peripheral retina of left eye
C2175042  subhyaloid hemorrhage of both eyes
C2175045  subretinal hemorrhage of macula of right eye (physical finding)
C2175046  subretinal hemorrhage of upper macula of right eye (physical finding)
C2175047  subretinal hemorrhage of lower macula of right eye
C2175048  subretinal hemorrhage of outer macula of right eye
C2175049  subretinal hemorrhage of inner macula of right eye
C2175050  subretinal hemorrhage of central aspect of macula of right eye
C2175051  subretinal hemorrhage of midperipheral retina of right eye (physical finding)
C2175052  subretinal hemorrhage of far peripheral retina of right eye (physical finding)
C2175054  subretinal hemorrhage of macula of left eye
C2175055  subretinal hemorrhage of upper macula of left eye (physical finding)
C2175056  subretinal hemorrhage of lower macula of left eye
C2175057  subretinal hemorrhage of outer macula of left eye (physical finding)
C2175058  subretinal hemorrhage of inner macula of left eye
C2175059  subretinal hemorrhage of central aspect of macula of left eye (physical finding)
C2175060  subretinal hemorrhage of midperipheral retina of left eye (physical finding)
C2175061  subretinal hemorrhage of far peripheral retina of left eye (physical finding)
C2175063  retinal edema of right eye
C2175064  retinal edema of left eye (physical finding)
C2175065  bilateral retinal edema (physical finding)
C2175066  edema of macula of right eye (physical finding)
C2175067  edema of upper macula of right eye (physical finding)
C2175068  edema of lower macula of right eye (physical finding)
C2175069  edema of outer macula of right eye (physical finding)
C2175070  edema of inner macula of right eye (physical finding)
C2175071  edema of central aspect of macula of right eye (physical finding)
C2175072  edema of midperipheral retina of right eye (physical finding)
C2175073  edema of superior aspect of midperipheral retina of right eye (physical finding)
C2175074  edema of superotemporal aspect of midperipheral retina of right eye (physical finding)
C2175075  edema of temporal aspect of midperipheral retina of right eye (physical finding)
C2175076  edema of inferotemporal aspect of midperipheral retina of right eye (physical finding)
C2175077  edema of inferior aspect of midperipheral retina of right eye
C2175078  edema of inferonasal aspect of midperipheral retina of right eye (physical finding)
C2175079  edema of nasal aspect of midperipheral retina of right eye (physical finding)
C2175080  edema of superonasal aspect of midperipheral retina of right eye
C2175081  edema of far peripheral retina of right eye
C2175082  edema of superior aspect of peripheral retina of right eye
C2175083  edema of superotemporal aspect of peripheral retina of right eye (physical finding)
C2175084  edema of temporal aspect of peripheral retina of right eye
C2175085  edema of inferotemporal aspect of peripheral retina of right eye
C2175086  edema of inferior aspect of peripheral retina of right eye
C2175087  edema of inferonasal aspect of peripheral retina of right eye
C2175088  edema of nasal aspect of peripheral retina of right eye (physical finding)
C2175089  edema of superonasal aspect of peripheral retina of right eye
C2175090  macular edema of left eye
C2175091  edema of upper macula of left eye (physical finding)
C2175092  edema of lower macula of left eye (physical finding)
C2175093  edema of outer macula of left eye
C2175094  edema of inner macula of left eye (physical finding)
C2175095  edema of central aspect of macula of left eye
C2175096  edema of midperipheral retina of left eye
C2175097  edema of superior aspect of midperipheral retina of left eye
C2175098  edema of superotemporal aspect of midperipheral retina of left eye (physical finding)
C2175099  edema of temporal aspect of midperipheral retina of left eye (physical finding)
C2175100  edema of inferotemporal aspect of midperipheral retina of left eye (physical finding)
C2175101  edema of inferior aspect of midperipheral retina of left eye (physical finding)
C2175102  edema of inferonasal aspect of midperipheral retina of left eye (physical finding)
C2175103  edema of nasal aspect of midperipheral retina of left eye
C2175104  edema of superonasal aspect of midperipheral retina of left eye
C2175105  edema of far peripheral retina of left eye
C2175106  edema of superior aspect of peripheral retina of left eye
C2175107  edema of superotemporal aspect of peripheral retina of left eye (physical finding)
C2175108  edema of temporal aspect of far peripheral retina of left eye (physical finding)
C2175109  edema of inferotemporal aspect of peripheral retina of left eye
C2175110  edema of inferior aspect of peripheral retina of left eye (physical finding)
C2175111  edema of inferonasal aspect of peripheral retina of left eye (physical finding)
C2175112  edema of nasal aspect of peripheral retina of left eye (physical finding)
C2175113  edema of superonasal aspect of peripheral retina of left eye (physical finding)
C2175114  hard soapy exudates of macula of right eye
C2175115  hard soapy exudates of upper macula of right eye (physical finding)
C2175116  hard soapy exudates of lower macula of right eye (physical finding)
C2175117  hard soapy exudates of outer macula of right eye (physical finding)
C2175118  hard soapy exudates of inner macula of right eye
C2175119  hard soapy exudates of central aspect of macula of right eye
C2175120  hard soapy exudates of midperipheral retina of right eye (physical finding)
C2175121  hard soapy exudates of superior aspect of midperipheral retina of right eye
C2175122  retina exudate hard 'soapy' R midperipheral superotemporal
C2175123  hard soapy exudates of temporal aspect of midperipheral retina of right eye (physical finding)
C2175124  retina exudate hard 'soapy' R midperipheral inferotemporal
C2175125  hard soapy exudates of inferior aspect of midperipheral retina of right eye (physical finding)
C2175126  hard soapy exudates of inferonasal aspect of midperipheral retina of right eye (physical finding)
C2175127  hard soapy exudates of nasal aspect of midperipheral retina of right eye (physical finding)
C2175128  hard soapy exudates of superonasal aspect of midperipheral retina of right eye (physical finding)
C2175129  hard soapy exudates of far peripheral retina of right eye
C2175130  hard soapy exudates of superior aspect of far peripheral retina of right eye (physical finding)
C2175131  hard soapy exudates of superotemporal aspect of far peripheral retina of right eye
C2175132  hard soapy exudates of temporal aspect of far peripheral retina of right eye (physical finding)
C2175133  hard soapy exudates of inferotemporal aspect of far peripheral retina of right eye
C2175134  hard soapy exudates of inferior aspect of far peripheral retina of right eye
C2175135  hard soapy exudates of inferonasal aspect of far peripheral retina of right eye
C2175136  hard soapy exudates of nasal aspect of far peripheral retina of right eye
C2175137  hard soapy exudates of superonasal aspect of far peripheral retina of right eye
C2175138  hard soapy exudates of macula of left eye (physical finding)
C2175139  hard soapy exudates of upper macula of left eye (physical finding)
C2175140  hard soapy exudates of lower macula of left eye (physical finding)
C2175141  hard soapy exudates of outer macula of left eye (physical finding)
C2175142  hard soapy exudates of inner macula of left eye (physical finding)
C2175143  hard soapy exudates of central aspect of macula of left eye
C2175144  hard soapy exudates of midperipheral retina of left eye (physical finding)
C2175145  hard soapy exudates of superior aspect of midperipheral retina of left eye
C2175146  hard soapy exudates of superotemporal aspect of midperipheral retina of left eye (physical finding)
C2175147  hard soapy exudates of temporal aspect of midperipheral retina of left eye (physical finding)
C2175148  hard soapy exudates of inferotemporal aspect of midperipheral retina of left eye
C2175149  hard soapy exudates of inferior aspect of midperipheral retina of left eye (physical finding)
C2175150  hard soapy exudates of inferonasal aspect of midperipheral retina of left eye (physical finding)
C2175151  hard soapy exudates of nasal aspect of midperipheral retina of left eye
C2175152  hard soapy exudates of superonasal aspect of midperipheral retina of left eye (physical finding)
C2175153  hard soapy exudates of far peripheral retina of left eye
C2175154  hard soapy exudates of superior aspect of far peripheral retina of left eye (physical finding)
C2175155  hard soapy exudates of superotemporal aspect of far peripheral retina of left eye (physical finding)
C2175156  hard soapy exudates of temporal aspect of far peripheral retina of left eye (physical finding)
C2175157  hard soapy exudates of inferotemporal aspect of far peripheral retina of left eye (physical finding)
C2175158  hard soapy exudates of inferior aspect of far peripheral retina of left eye
C2175159  hard soapy exudates of inferonasal aspect of far peripheral retina of left eye (physical finding)
C2175160  hard soapy exudates of nasal aspect of far peripheral retina of left eye (physical finding)
C2175161  hard soapy exudates of superonasal aspect of far peripheral retina of left eye
C2175162  cotton wool spots of macula of right eye (physical finding)
C2175163  cotton wool spots of superior macular region of right eye (physical finding)
C2175164  cotton wool spots of inferior macular region of right eye (physical finding)
C2175165  cotton wool spots of temporal macular region of right eye (physical finding)
C2175166  cotton wool spots of nasal macular region of right eye (physical finding)
C2175167  cotton wool spots of central macula of right eye (physical finding)
C2175168  cotton wool spots of midperipheral retina of right eye (physical finding)
C2175169  cotton wool spots of superior aspect of midperipheral retina of right eye
C2175170  retina patches 'cotton-wool' right midperipheral superotempo
C2175171  cotton wool spots of temporal aspect of midperipheral retina of right eye (physical finding)
C2175172  retina patches 'cotton-wool' R midperipheral inferotemporal
C2175173  cotton wool spots of inferior aspect of midperipheral retina of right eye
C2175174  cotton wool spots of inferonasal aspect of midperipheral retina of right eye (physical finding)
C2175175  cotton wool spots of nasal aspect of midperipheral retina of right eye
C2175176  cotton wool spots of superonasal aspect of midperipheral retina of right eye
C2175177  cotton wool spots of far peripheral retina of right eye (physical finding)
C2175178  cotton wool spots of superior aspect of far peripheral retina of right eye
C2175179  cotton wool spots of superotemporal aspect of far peripheral retina of right eye (physical finding)
C2175180  cotton wool spots of temporal aspect of far peripheral retina of right eye
C2175181  cotton wool spots of inferotemporal aspect of far peripheral retina of right eye
C2175182  cotton wool spots of inferior aspect of far peripheral retina of right eye
C2175183  cotton wool spots of inferonasal aspect of far peripheral retina of right eye (physical finding)
C2175184  cotton wool spots of nasal aspect of far peripheral retina of right eye (physical finding)
C2175185  cotton wool spots of superonasal aspect of far peripheral retina of right eye (physical finding)
C2175186  cotton wool spots of macula of left eye (physical finding)
C2175187  cotton wool spots of superior macular region of left eye (physical finding)
C2175188  cotton wool spots of inferior macular region of left eye
C2175189  cotton wool spots of temporal macular region of left eye (physical finding)
C2175190  cotton wool spots of nasal macular region of left eye (physical finding)
C2175191  cotton wool spots of central macula of left eye (physical finding)
C2175192  cotton wool spots of midperipheral retina of left eye
C2175193  cotton wool spots of superior aspect of midperipheral retina of left eye (physical finding)
C2175194  retina patches 'cotton-wool' L midperipheral superotemporal
C2175195  cotton wool spots of temporal aspect of midperipheral retina of left eye
C2175196  retina patches 'cotton-wool' L midperipheral inferotemporal
C2175197  cotton wool spots of inferior aspect of midperipheral retina of left eye (physical finding)
C2175198  cotton wool spots of inferonasal aspect of midperipheral retina of left eye (physical finding)
C2175199  cotton wool spots of nasal aspect of midperipheral retina of left eye (physical finding)
C2175200  cotton wool spots of superonasal aspect of midperipheral retina of left eye (physical finding)
C2175201  cotton wool spots of far peripheral retina of left eye (physical finding)
C2175202  cotton wool spots of superior aspect of far peripheral retina of left eye (physical finding)
C2175203  cotton wool spots of superotemporal aspect of far peripheral retina of left eye (physical finding)
C2175204  cotton wool spots of temporal aspect of far peripheral retina of left eye
C2175205  cotton wool spots of inferotemporal aspect of far peripheral retina of left eye
C2175206  cotton wool spots of inferonasal aspect of far peripheral retina of left eye
C2175207  cotton wool spots of nasal aspect of far peripheral retina of left eye (physical finding)
C2175208  cotton wool spots of superonasal aspect of far peripheral retina of left eye (physical finding)
C2175209  yellow-white retinal patch of right eye
C2175210  yellow-white patch of macula of right eye (physical finding)
C2175211  yellow-white patch of upper macula of right eye
C2175212  yellow-white patch of lower macula of right eye
C2175213  yellow-white patch of outer macula of right eye
C2175214  yellow-white patch of inner macula of right eye (physical finding)
C2175215  yellow-white patch of central aspect of macula of right eye
C2175216  yellow-white patch of midperipheral retina of right eye
C2175217  yellow-white patch of superior aspect of midperipheral retina of right eye (physical finding)
C2175218  retina patches yellow-white R midperipheral superotemporal
C2175219  yellow-white patch of temporal aspect of midperipheral retina of right eye (physical finding)
C2175220  retina patches yellow-white R midperipheral inferotemporal
C2175221  yellow-white patch of inferior aspect of midperipheral retina of right eye (physical finding)
C2175222  yellow-white patch of inferonasal aspect of midperipheral retina of right eye
C2175223  yellow-white patch of nasal aspect of midperipheral retina of right eye (physical finding)
C2175224  yellow-white patch of superonasal aspect of midperipheral retina of right eye
C2175225  yellow-white patch of far peripheral retina of right eye (physical finding)
C2175226  yellow-white patch of superior aspect of far peripheral retina of right eye
C2175227  yellow-white patch of superotemporal aspect of far peripheral retina of right eye (physical finding)
C2175228  yellow-white patch of temporal aspect of far peripheral retina of right eye
C2175229  yellow-white patch of inferotemporal aspect of far peripheral retina of right eye (physical finding)
C2175230  yellow-white patch of inferior aspect of far peripheral retina of right eye (physical finding)
C2175231  yellow-white patch of inferonasal aspect of far peripheral retina of right eye (physical finding)
C2175232  yellow-white patch of nasal aspect of far peripheral retina of right eye
C2175233  yellow-white patch of superonasal aspect of far peripheral retina of right eye
C2175234  yellow-white retinal patch of left eye (physical finding)
C2175235  yellow-white patch of macula of left eye
C2175236  yellow-white patch of upper macula of left eye (physical finding)
C2175237  yellow-white patch of lower macula of left eye (physical finding)
C2175238  yellow-white patch of outer macula of left eye (physical finding)
C2175239  yellow-white patch of inner macula of left eye (physical finding)
C2175240  yellow-white patch of central aspect of macula of left eye
C2175241  yellow-white patch of midperipheral retina of left eye (physical finding)
C2175242  yellow-white patch of superior aspect of midperipheral retina of left eye
C2175243  retina patches yellow-white L midperipheral superotemporal
C2175244  yellow-white patch of temporal aspect of midperipheral retina of left eye
C2175245  retina patches yellow-white L midperipheral inferotemporal
C2175246  yellow-white patch of inferior aspect of midperipheral retina of left eye (physical finding)
C2175247  yellow-white patch of inferonasal aspect of midperipheral retina of left eye (physical finding)
C2175248  yellow-white patch of nasal aspect of midperipheral retina of left eye (physical finding)
C2175249  yellow-white patch of superonasal aspect of midperipheral retina of left eye
C2175250  yellow-white patch of far peripheral retina of left eye
C2175251  yellow-white patch of superior aspect of far peripheral retina of left eye
C2175252  yellow-white patch of superotemporal aspect of far peripheral retina of left eye
C2175253  yellow-white patch of temporal aspect of far peripheral retina of left eye
C2175254  yellow-white patch of inferotemporal aspect of far peripheral retina of left eye (physical finding)
C2175255  yellow-white patch of inferior aspect of far peripheral retina of left eye (physical finding)
C2175256  yellow-white patch of inferonasal aspect of far peripheral retina of left eye (physical finding)
C2175257  yellow-white patch of nasal aspect of far peripheral retina of left eye
C2175258  yellow-white patch of superonasal aspect of far peripheral retina of left eye (physical finding)
C2175259  yellow-white patches of retinas of both eyes
C2175260  Roth's spots of macula of right eye
C2175261  Roth's spots of upper macula of right eye
C2175262  Roth's spots of lower macula of right eye
C2175263  Roth's spots of outer macula of right eye
C2175264  Roth's spots of inner macula of right eye (physical finding)
C2175265  Roth's spots of central aspect of macula of right eye
C2175266  Roth's spots of macula of right eye diffusely
C2175267  Roth's spots of midperipheral retina of right eye
C2175268  Roth's spots of superior aspect of midperipheral retina of right eye (physical finding)
C2175269  Roth's spots of superotemporal aspect of midperipheral retina of right eye
C2175270  Roth's spots of temporal aspect of midperipheral retina of right eye (physical finding)
C2175271  Roth's spots of inferotemporal aspect of midperipheral retina of right eye
C2175272  Roth's spots of inferior aspect of midperipheral retina of right eye (physical finding)
C2175273  Roth's spots of inferonasal aspect of midperipheral retina of right eye (physical finding)
C2175274  Roth's spots of nasal aspect of midperipheral retina of right eye
C2175275  Roth's spots of superonasal aspect of midperipheral retina of right eye (physical finding)
C2175276  Roth's spots of far peripheral retina of right eye
C2175277  Roth's spots of superior aspect of far peripheral retina of right eye (physical finding)
C2175278  Roth's spots of superotemporal aspect of far peripheral retina of right eye (physical finding)
C2175279  Roth's spots of temporal aspect of far peripheral retina of right eye (physical finding)
C2175280  Roth's spots of inferotemporal aspect of far peripheral retina of right eye
C2175281  Roth's spots of inferior aspect of far peripheral retina of right eye (physical finding)
C2175282  Roth's spots of inferonasal aspect of far peripheral retina of right eye (physical finding)
C2175283  Roth's spots of nasal aspect of far peripheral retina of right eye
C2175284  Roth's spots of superonasal aspect of far peripheral retina of right eye (physical finding)
C2175285  Roth's spots of macula of left eye (physical finding)
C2175286  Roth's spots of upper macula of left eye (physical finding)
C2175287  Roth's spots of lower macula of left eye
C2175288  Roth's spots of outer macula of left eye (physical finding)
C2175289  Roth's spots of inner macula of left eye (physical finding)
C2175290  Roth's spots of central aspect of macula of left eye
C2175291  Roth's spots of macula of left eye diffusely (physical finding)
C2175292  Roth's spots of midperipheral retina of left eye
C2175293  Roth's spots of superior aspect of midperipheral retina of left eye
C2175294  Roth's spots of superotemporal aspect of midperipheral retina of left eye (physical finding)
C2175295  Roth's spots of temporal aspect of midperipheral retina of left eye (physical finding)
C2175296  Roth's spots of inferotemporal aspect of midperipheral retina of left eye
C2175297  Roth's spots of inferior aspect of midperipheral retina of left eye (physical finding)
C2175298  Roth's spots of inferonasal aspect of midperipheral retina of left eye (physical finding)
C2175299  Roth's spots of nasal aspect of midperipheral retina of left eye
C2175300  Roth's spots of superonasal aspect of midperipheral retina of left eye (physical finding)
C2175301  Roth's spots of far peripheral retina of left eye
C2175302  Roth's spots of superior aspect of far peripheral retina of left eye (physical finding)
C2175303  Roth's spots of superotemporal aspect of far peripheral retina of left eye (physical finding)
C2175304  Roth's spots of temporal aspect of far peripheral retina of left eye
C2175305  Roth's spots of inferotemporal aspect of far peripheral retina of left eye (physical finding)
C2175306  Roth's spots of inferior aspect of far peripheral retina of left eye (physical finding)
C2175307  Roth's spots of inferonasal aspect of far peripheral retina of left eye
C2175308  Roth's spots of nasal aspect of far peripheral retina of left eye
C2175309  Roth's spots of superonasal aspect of far peripheral retina of left eye (physical finding)
C2175310  retinal pigment epithelial hyperplasia of right eye (physical finding)
C2175311  retinal pigment epithelial hyperplasia of macula of right eye
C2175312  retinal pigment epithelial hyperplasia of upper macula of right eye (physical finding)
C2175313  retinal pigment epithelial hyperplasia of lower macula of right eye
C2175314  retinal pigment epithelial hyperplasia of outer macula of right eye (physical finding)
C2175315  retinal pigment epithelial hyperplasia of inner macula of right eye
C2175316  retinal pigment epithelial hyperplasia of central aspect of macula of right eye (physical finding)
C2175317  retinal pigment epithelial hyperplasia of midperipheral retina of right eye (physical finding)
C2175318  retinal pigment epithelial hyperplasia of superior aspect of midperipheral retina of right eye (physical finding)
C2175319  retinal pigment epithelial hyperplasia of superotemporal aspect of midperipheral retina of right eye (physical finding)
C2175320  retinal pigment epithelial hyperplasia of temporal aspect of midperipheral retina of right eye
C2175321  retinal pigment epithelial hyperplasia of inferotemporal aspect of midperipheral retina of right eye
C2175322  retinal pigment epithelial hyperplasia of inferior aspect of midperipheral retina of right eye
C2175323  retinal pigment epithelial hyperplasia of inferonasal aspect of midperipheral retina of right eye (physical finding)
C2175324  retinal pigment epithelial hyperplasia of nasal aspect of midperipheral retina of right eye (physical finding)
C2175325  retinal pigment epithelial hyperplasia of superonasal aspect of midperipheral retina of right eye
C2175326  retinal pigment epithelial hyperplasia of far peripheral retina of right eye
C2175327  retinal pigment epithelial hyperplasia of superior aspect of far peripheral retina of right eye (physical finding)
C2175328  retinal pigment epithelial hyperplasia of superotemporal aspect of far peripheral retina of right eye (physical finding)
C2175329  retinal pigment epithelial hyperplasia of temporal aspect of far peripheral retina of right eye
C2175330  retinal pigment epithelial hyperplasia of inferotemporal aspect of far peripheral retina of right eye (physical finding)
C2175331  retinal pigment epithelial hyperplasia of inferior aspect of far peripheral retina of right eye
C2175332  retinal pigment epithelial hyperplasia of inferonasal aspect of far peripheral retina of right eye
C2175333  retinal pigment epithelial hyperplasia of nasal aspect of far peripheral retina of right eye
C2175334  retinal pigment epithelial hyperplasia of superonasal aspect of far peripheral retina of right eye (physical finding)
C2175335  retinal pigment epithelial hyperplasia of left eye
C2175336  retinal pigment epithelial hyperplasia of macula of left eye (physical finding)
C2175337  retinal pigment epithelial hyperplasia of upper macula of left eye
C2175338  retinal pigment epithelial hyperplasia of lower macula of left eye
C2175339  retinal pigment epithelial hyperplasia of outer macula of left eye
C2175340  retinal pigment epithelial hyperplasia of inner macula of left eye
C2175341  retinal pigment epithelial hyperplasia of central aspect of macula of left eye
C2175342  retinal pigment epithelial hyperplasia of midperipheral retina of left eye (physical finding)
C2175343  retinal pigment epithelial hyperplasia of superior aspect of midperipheral retina of left eye (physical finding)
C2175344  retinal pigment epithelial hyperplasia of superotemporal aspect of midperipheral retina of left eye (physical finding)
C2175345  retinal pigment epithelial hyperplasia of temporal aspect of midperipheral retina of left eye (physical finding)
C2175346  retinal pigment epithelial hyperplasia of inferotemporal aspect of midperipheral retina of left eye (physical finding)
C2175347  retinal pigment epithelial hyperplasia of inferior aspect of midperipheral retina of left eye
C2175348  retinal pigment epithelial hyperplasia of inferonasal aspect of midperipheral retina of left eye
C2175349  retinal pigment epithelial hyperplasia of nasal aspect of midperipheral retina of left eye
C2175350  retinal pigment epithelial hyperplasia of superonasal aspect of midperipheral retina of left eye
C2175351  retinal pigment epithelial hyperplasia of far peripheral retina of left eye (physical finding)
C2175352  retinal pigment epithelial hyperplasia of superior aspect of far peripheral retina of left eye (physical finding)
C2175353  retinal pigment epithelial hyperplasia of superotemporal aspect of far peripheral retina of left eye (physical finding)
C2175354  retinal pigment epithelial hyperplasia of temporal aspect of far peripheral retina of left eye (physical finding)
C2175355  retinal pigment epithelial hyperplasia of inferotemporal aspect of far peripheral retina of left eye
C2175356  retinal pigment epithelial hyperplasia of inferior aspect of far peripheral retina of left eye (physical finding)
C2175357  retinal pigment epithelial hyperplasia of inferonasal aspect of far peripheral retina of left eye (physical finding)
C2175358  retinal pigment epithelial hyperplasia of nasal aspect of far peripheral retina of left eye
C2175359  retinal pigment epithelial hyperplasia of superonasal aspect of far peripheral retina of left eye (physical finding)
C2175360  retinal pigment epithelial hyperplasia of both eyes
C2175463  atrophic pigmentary degeneration of retina of right eye (physical finding)
C2175464  atrophic pigmentary degeneration of macula of right eye
C2175465  atrophic pigmentary degeneration of retina of left eye (physical finding)
C2175466  atrophic pigmentary degeneration of macula of left eye (physical finding)
C2175521  retinal hole of midperipheral retina of right eye (physical finding)
C2175522  retinal hole of superior aspect of midperipheral retina of right eye (physical finding)
C2175523  retinal hole of superotemporal aspect of midperipheral retina of right eye (physical finding)
C2175524  retinal hole of temporal aspect of midperipheral retina of right eye (physical finding)
C2175525  retinal hole of inferotemporal aspect of midperipheral retina of right eye
C2175526  retinal hole of inferior aspect of midperipheral retina of right eye (physical finding)
C2175527  retinal hole of inferonasal aspect of midperipheral retina of right eye
C2175528  retinal hole of nasal aspect of midperipheral retina of right eye (physical finding)
C2175529  retinal hole of superonasal aspect of midperipheral retina of right eye (physical finding)
C2175530  retinal hole of far peripheral aspect of right eye (physical finding)
C2175531  retinal hole of superior aspect of far peripheral retina of right eye (physical finding)
C2175532  retinal hole of superotemporal aspect of far peripheral retina of right eye (physical finding)
C2175533  retinal hole of temporal aspect of far peripheral retina of right eye
C2175534  retinal hole of inferotemporal aspect of far peripheral retina of right eye (physical finding)
C2175535  retinal hole of inferior aspect of far peripheral retina of right eye (physical finding)
C2175536  retinal hole of inferonasal aspect of far peripheral retina of right eye
C2175537  retinal hole of nasal aspect of far peripheral retina of right eye
C2175538  retinal hole of superonasal aspect of far peripheral retina of right eye (physical finding)
C2175539  retinal hole of midperipheral retina of left eye
C2175540  retinal hole of superior aspect of midperipheral retina of left eye (physical finding)
C2175541  retinal hole of superotemporal aspect of midperipheral retina of left eye (physical finding)
C2175542  retinal hole of temporal aspect of midperipheral retina of left eye (physical finding)
C2175543  retinal hole of inferotemporal aspect of midperipheral retina of left eye (physical finding)
C2175544  retinal hole of inferior aspect of midperipheral retina of left eye
C2175545  retinal hole of inferonasal aspect of midperipheral retina of left eye (physical finding)
C2175546  retinal hole of nasal aspect of midperipheral retina of left eye
C2175547  retinal hole of superonasal aspect of midperipheral retina of left eye (physical finding)
C2175548  retinal hole of far peripheral retina of left eye (physical finding)
C2175549  retinal hole of superior aspect of far peripheral retina of left eye (physical finding)
C2175550  retinal hole of superotemporal aspect of far peripheral retina of left eye
C2175551  retinal hole of temporal aspect of far peripheral retina of left eye (physical finding)
C2175552  retinal hole of inferotemporal aspect of far peripheral retina of left eye (physical finding)
C2175553  retinal hole of inferior aspect of far peripheral retina of left eye
C2175554  retinal hole of inferonasal aspect of far peripheral retina of left eye
C2175555  retinal hole of nasal aspect of far peripheral retina of left eye (physical finding)
C2175556  retinal hole of superonasal aspect of far peripheral retina of left eye (physical finding)
C2175557  horseshoe retinal tear of right eye (diagnosis)
C2175558  horseshoe retinal tear of left eye
C2175559  retinal detachment rhegmatogenous right eye bullous
C2175560  retinal detachment rhegmatogenous right eye with macule off
C2175561  retinal detachment rhegmatogenous right eye from ___ o'clock
C2175562  retinal detachment rhegmatogenous right eye to ___ o'clock
C2175563  retinal detachment rhegmatogenous left eye bullous
C2175564  retinal detachment rhegmatogenous left eye with macule off
C2175565  retinal detachment rhegmatogenous left eye from ___ o'clock
C2175566  retinal detachment rhegmatogenous left eye to ___ o'clock
C2175568  retinal detachment serous right eye with macule off
C2175569  retinal detachment serous right eye from ___ o'clock
C2175570  retinal detachment serous right eye to ___ o'clock
C2175571  retinal detachment serous left eye
C2175572  retinal detachment serous left eye with macule off
C2175573  retinal detachment serous left eye from ___ o'clock
C2175574  retinal detachment serous left eye to ___ o'clock
C2175576  nonspecific losses of visual field (physical finding)
C2175577  nonspecific losses of visual field of right eye
C2175578  nonspecific losses of visual field of left eye (physical finding)
C2175579  nonspecific losses of visual fields of both eyes (physical finding)
C2176204  upper abdominal aortic bruit (physical finding)
C2176205  lower midline abdominal bruit
C2176703  acromioclavicular joint pain elicited by motion right
C2176704  acromioclavicular joint pain elicited by motion bilaterally
C2176799  acromioclavicular pain elicited on abduction right
C2176800  bilateral AC pain elicited on abduction
C2176801  acromioclavicular pain elicited on overhead motion right
C2176802  bilateral AC pain elicited on overhead motion
C2177186  intracapsular swelling of right ankle (physical finding)
C2177187  extracapsular swelling of right ankle
C2177188  intracapsular swelling of both ankles
C2177189  extracapsular swelling of both ankles (physical finding)
C2177190  swelling of medial tubercle of talus of right foot (physical finding)
C2177191  swelling of retrocalcaneal bursa of right foot
C2177192  swelling of right posterior calcaneal bursa
C2177193  nodular swelling of midsubstance of right Achilles tendon
C2177194  swelling of medial tubercle talus of left foot (physical finding)
C2177196  swelling of retrocalcaneal bursa of left foot
C2177197  swelling of calcaneal bursa of left foot
C2177198  nodular swelling of midsubstance of left Achilles tendon (physical finding)
C2177409  swelling over sesamoid bones of right foot (physical finding)
C2177410  swelling over metatarsal head of right foot (physical finding)
C2177411  swelling over first metatarsal head of right foot
