C0000804  Abortion, Criminal
C2175582  mucoid cervical discharge
C2175925  desquamation on breast (physical finding)
C2175926  desquamation on right breast
C2175927  desquamation on superior lateral quadrant of right breast (physical finding)
C2175928  desquamation on inferior lateral quadrant of right breast
C2175929  desquamation on superior medial quadrant of right breast
C2175930  desquamation on inferior medial quadrant of right breast
C2175931  desquamation on left breast
C2175932  desquamation on superior lateral quadrant of left breast (physical finding)
C2175933  desquamation on inferior lateral quadrant of left breast
C2175934  desquamation on superior medial quadrant of left breast (physical finding)
C2175935  desquamation on inferior medial quadrant of left breast
C2175936  desquamation on both breasts
C2175937  desquamation on nipple
C2175938  desquamation on right nipple
C2175939  desquamation on left nipple (physical finding)
C2175940  desquamation on both nipples
C2175941  desquamation on areola (physical finding)
C2175942  desquamation on right areola (physical finding)
C2175943  desquamation on left areola (physical finding)
C2175944  desquamation on both areolae (physical finding)
C2175981  desquamation was seen on the scrotum
C2175982  desquamation of right side of scrotum (physical finding)
C2175983  desquamation of left side of scrotum (physical finding)
C2175984  desquamation of anterior aspect of scrotum
C2175985  desquamation of posterior aspect of scrotum (physical finding)
C2176002  desquamation on labia (physical finding)
C2176003  desquamation on right labia
C2176004  desquamation on left labia (physical finding)
C2176005  desquamation was seen on the labia bilaterally
C2176714  femoral anteversion of right hip (___ degrees)
C2176715  femoral anteversion of left hip (physical finding)
C2176716  femoral anteversion of both hips (___ degrees)
C2177508  functional talipes varus of right foot
C2177509  static talipes varus of right foot (physical finding)
C2177510  functional talipes varus of left foot
C2177511  static talipes varus of left foot (physical finding)
C2177512  feet pes planus right rigid (congenital) (physical finding)
C2177517  feet pes planus left rigid (congenital)
C2177960  feet pes rockerbottom foot right
C2177961  feet pes rockerbottom foot left
C2177962  feet pes rockerbottom foot bilaterally
C2178395  syndactyly of thumb and index finger of right hand (physical finding)
C2178396  syndactyly of thumb and index finger of left hand (physical finding)
C2178421  arachnodactyly of right hand (physical finding)
C2178422  deformity of fingers arachnodactyly right thumb
C2178423  arachnodactyly of index finger of right hand (physical finding)
C2178424  arachnodactyly of middle finger of right hand
C2178425  arachnodactyly of ring finger of right hand (physical finding)
C2178426  arachnodactyly of little finger of right hand
C2178427  arachnodactyly of left hand (physical finding)
C2178428  arachnodactyly of left thumb (physical finding)
C2178429  arachnodactyly of index finger of left hand (physical finding)
C2178430  arachnodactyly of middle finger of left hand
C2178431  arachnodactyly of ring finger of left hand
C2178432  arachnodactyly of little finger of left hand
C2178781  absence of ulna (physical finding)
C2178782  absence of right ulna
C2178783  absence of left ulna
C2178784  the ulnae in both forearms were absent
C2178785  shortened radius
C2178786  forearm malformation shortened radius right (___ cm)
C2178787  forearm malformation shortened radius left (___ cm)
C2178788  shortened radius of both arms (physical finding)
C2178789  shortened ulna
C2178790  forearm malformation shortened ulna right (___ cm)
C2178791  forearm malformation shortened ulna left (___ cm)
C2178792  shortened ulna of both arms
C2180404  right costovertebral angle tenderness (physical finding)
C2180405  white urethral discharge (symptom)
C2180406  urethral discharge yellow
C2180407  bloody urethral discharge (physical finding)
C2180408  urethral discharge brown
C2180413  size of soft mass in ventral shaft of penis in cm
C2180414  penis mass ventral shaft firm (___ cm)
C2180415  penis mass ventral shaft hard (___ cm)
C2180416  mass on dorsal shaft of penis (physical finding)
C2181396  abdominal computed tomography alimentary tract obstruction small intestinal
C2182059  lumbar spine magnetic resonance imaging lumbar cord mass intramedullary associated with primary tumor
C2182072  magnetic resonance imaging of lumbar spine: intradural extramedullary mass of cord associated with primary tumor (procedure)
C2182085  lumbar spine magnetic resonance imaging lumbar cord mass extramedullary associated with primary tumor
C2183182  cystoscopy prostate lobe anterior hypertrophy w/ obstruction
C2183695  dimpling of inferior lateral quadrant of left breast (physical finding)
C2183696  dimpling of inferior medial quadrant of left breast (physical finding)
C2183697  dimpling of superior lateral quadrant of left breast
C2183698  dimpling of superior medial quadrant of left breast
C2183700  dimpling of inferior lateral quadrant of right breast
C2183701  dimpling of inferior medial quadrant of right breast (physical finding)
C2183702  dimpling of superior lateral quadrant of right breast
C2183703  dimpling of superior medial quadrant of right breast (physical finding)
C2183773  direct LLQ tenderness
C2184175  localized anhidrosis
C2184252  penis swelling localized
C2185961  low rectovaginal fistula (physical finding)
C2185963  low vesicovaginal fistula
C2187347  retrograde pyelogram: absence of kidney (procedure)
C2187348  retrograde pyelogram: absence of both kidneys (procedure)
C2187349  retrograde pyelogram: absence of left kidney only (procedure)
C2187350  retrograde pyelogram: absence of right kidney only
C2187351  retrograde pyelogram displacement of ureters (procedure)
C2187352  retrograde pyelogram: displacement of both ureters (procedure)
C2187353  retrograde pyelogram: displacement of ureters on left only
C2187354  retrograde pyelogram: displacement of ureters on right only (procedure)
C2187355  retrograde pyelogram ectopic kidney (procedure)
C2187356  retrograde pyelogram: both kidneys ectopic
C2187357  retrograde pyelogram: ectopic left kidney only (procedure)
C2187358  retrograde pyelogram: ectopic right kidney only (procedure)
C2187359  retrograde pyelogram enlarged kidney (procedure)
C2187360  retrograde pyelogram: enlarged kidneys bilaterally (procedure)
C2187361  retrograde pyelogram: enlarged kidney on left only (procedure)
C2187362  retrograde pyelogram: enlarged kidney on right only
C2187363  retrograde pyelogram extravasation of kidney (procedure)
C2187364  retrograde pyelogram: extravasation of both kidneys (procedure)
C2187365  retrograde pyelogram: extravasation of left kidney only (procedure)
C2187366  retrograde pyelogram: extravasation of right kidney only
C2187371  retrograde pyelogram: extrinsic compression of both kidneys (procedure)
C2187372  retrograde pyelogram: extrinsic compression of kidney from above (procedure)
C2187373  retrograde pyelogram: extrinsic compression of kidney from below
C2187374  retrograde pyelogram: extrinsic compression of left kidney only (procedure)
C2187375  retrograde pyelogram: extrinsic compression of right kidney only (procedure)
C2187376  retrograde pyelogram extrinsic compression of kidney (procedure)
C2187378  retrograde pyelogram fused kidneys
C2187379  retrograde pyelogram: calculus of kidney (procedure)
C2187380  retrograde pyelogram kidney calculi multiple, both kidneys
C2187381  retrograde pyelogram kidney calculi multiple, left only
C2187382  retrograde pyelogram kidney calculi multiple, right only
C2187383  retrograde pyelogram kidney calculi solitary, both kidneys
C2187384  retrograde pyelogram kidney calculi solitary, left only
C2187385  retrograde pyelogram kidney calculi solitary, right only
C2187386  retrograde pyelogram: cyst of kidney (procedure)
C2187387  retrograde pyelogram: cyst of kidney with calcification of wall (procedure)
C2187388  retrograde pyelogram kidney cyst multiple, both kidneys
C2187389  retrograde pyelogram kidney cyst multiple, left kidney only
C2187390  retrograde pyelogram kidney cyst multiple, right kidney only
C2187391  retrograde pyelogram kidney cyst solitary, both kidneys
C2187392  retrograde pyelogram kidney cyst solitary, left only
C2187393  retrograde pyelogram kidney cyst solitary, right only
C2187394  retrograde pyelogram kidney mass lesion ___cm
C2187395  retrograde pyelogram kidney mass lesion calcified
C2187396  retrograde pyelogram kidney mass lesion solitary, bilateral
C2187397  retrograde pyelogram kidney mass lesion solitary, left only
C2187398  retrograde pyelogram kidney mass lesion solitary, right only
C2187399  retrograde pyelogram mass lesion multiple, in both kidneys
C2187400  retrograde pyelogram mass lesion multiple, left kidney only
C2187401  retrograde pyelogram mass lesion multiple, right kidney only
C2187402  retrograde pyelogram nephrocalcinosis (procedure)
C2187403  retrograde pyelogram obstructive pattern (procedure)
C2187404  retrograde pyelogram: obstructive pattern bilaterally (procedure)
C2187405  retrograde pyelogram: obstructive pattern on left only (procedure)
C2187406  retrograde pyelogram: obstructive pattern on right only
C2187407  retrograde pyelogram papillary necrosis (procedure)
C2187408  retrograde pyelogram papillary necrosis bilateral
C2187409  retrograde pyelogram papillary necrosis left only
C2187410  retrograde pyelogram papillary necrosis right only
C2187411  retrograde pyelogram small kidney (procedure)
C2187412  retrograde pyelogram: small kidneys bilaterally
C2187413  retrograde pyelogram: small kidney on left only (procedure)
C2187414  retrograde pyelogram: small kidney on right only
C2187415  retrograde pyelogram: calculus of ureter (procedure)
C2187416  retrograde pyelogram ureter calculi multiple, both ureters
C2187417  retrograde pyelogram ureter calculi multiple, left only
C2187418  retrograde pyelogram ureter calculi multiple, right only
C2187419  retrograde pyelogram ureter calculi solitary, both ureters
C2187420  retrograde pyelogram ureter calculi solitary, left only
C2187421  retrograde pyelogram ureter calculi solitary, right only
C2187581  Rh incompatibility during pregnancy (history)
C2187956  abdomen umbilical stump bleeding
C2187957  abdomen umbilical stump discharge
C2187958  abdomen umbilical stump discharge purulent
C2187961  abdomen umbilical stump protracted postpartum attachment
C2187962  abdomen umbilical stump surrounding area
C2187963  abdomen umbilical stump surrounding area erythematous
C2187964  abdomen umbilical stump surrounding area swollen
C2187965  umbilicated papule of external female genitalia
C2187966  penis lesion papules umbilicated
C2188177  penis lesion ulcer multiple, uniform size (___ cm)
C2188323  ureterostomy
C2188450  bladder incontinence
C2188451  urinary incontinence by exam while standing (physical finding)
C2188452  urinary incontinence by exam while supine (physical finding)
C2188453  bladder incontinence with anatomy correction
C2188454  urinary incontinence by exam with heavy cough
C2188455  urinary incontinence by exam with Valsalva (physical finding)
C2188572  vaginal discharge of urine (symptom)
C2188907  uterine prolapse grade ___/4
C2188925  uterus softening of corpus (Hegar's sign)
C2188970  vaginal cuff mass (physical finding)
C2188985  vaginal discharge of blood (physical finding)
C2188986  vaginal discharge of bright red blood
C2188987  vaginal discharge of brown blood (physical finding)
C2188988  vaginal discharge of clotting blood
C2188989  vaginal discharge of scant blood
C2188991  vaginal fourchette mass (physical finding)
C2189019  vagina laceration anterior wall (cm) actively bleeding
C2189020  vagina laceration anterior wall (cm) discharge
C2189021  vagina laceration anterior wall (cm) discharge mucous
C2189022  vagina laceration anterior wall (cm) discharge purulent
C2189023  size of laceration on anterior vaginal wall with serosanguineous discharge (physical finding)
C2189024  vagina laceration anterior wall (___ cm)
C2189025  vagina laceration anterior wall bilaterally (___ cm)
C2189026  vagina laceration anterior wall left (___ cm)
C2189027  vagina laceration anterior wall right (___ cm)
C2189028  vagina laceration fourchette (___ cm)
C2189029  vagina laceration posterior wall (cm) actively bleeding
C2189030  vagina laceration posterior wall (cm) discharge
C2189031  vagina laceration posterior wall (cm) discharge mucous
C2189032  vagina laceration posterior wall (cm) discharge purulent
C2189033  size of laceration on posterior vaginal wall with serosanguineous discharge
C2189034  vagina laceration posterior wall (___ cm)
C2189035  vagina laceration posterior wall bilaterally (___ cm)
C2189036  vagina laceration posterior wall left (___ cm)
C2189037  vagina laceration posterior wall right (___ cm)
C2189038  vagina laceration sidewall (cm) actively bleeding
C2189039  vagina laceration sidewall (cm) discharge
C2189040  vagina laceration sidewall (cm) discharge mucous
C2189041  vagina laceration sidewall (cm) discharge purulent
C2189042  vagina laceration sidewall (cm) discharge serosanguineous
C2189043  vagina laceration sidewall (___ cm)
C2189044  vagina laceration sidewall bilaterally (___ cm)
C2189045  vagina laceration sidewall left (___ cm)
C2189046  vagina laceration sidewall right (___ cm)
C2189087  vaginal ulcer with beefy red base
C2189088  vaginal ulcer with erythematous border (physical finding)
C2189089  vaginal ulcer with indurated edge (physical finding)
C2189090  vaginal ulcer with necrotic base (physical finding)
C2189091  vaginal ulcer with undermined edge (physical finding)
C2189271  penis erection angulated ventral (___ degrees)
C2189272  tender distal portion of ventral penile shaft
C2189273  ventral penile shaft tenderness of proximal portion (physical finding)
C2189323  vernix caseosa absent (physical finding)
C2189324  vernix caseosa on back, scalp, and in skin creases (physical finding)
C2189325  vernix caseosa scant amount in skin creases (physical finding)
C2189326  vernix caseosa thick layer covering body (physical finding)
C2189373  verrucous papule of external female genitalia (physical finding)
C2189374  verrucous papules of penis
C2189404  vesicle of external female genitalia (physical finding)
C2195967  maceration on breast (physical finding)
C2195968  maceration on right breast
C2195969  maceration on superior lateral quadrant of right breast (physical finding)
C2195970  maceration on the breasts right inferior lateral quadrant
C2195971  maceration on superior medial quadrant of right breast
C2195972  maceration on the breasts right inferior medial quadrant
C2195973  maceration on the breasts left
C2195974  maceration on the breasts left superior lateral quadrant
C2195975  maceration on inferior lateral quadrant of left breast (physical finding)
C2195976  maceration on superior medial quadrant of left breast (physical finding)
C2195977  maceration on the breasts left inferior medial quadrant
C2195978  maceration on both breasts (physical finding)
C2195979  maceration on nipple (physical finding)
C2195980  maceration on right nipple
C2195981  maceration on the chest nipple(s) left
C2195982  maceration on both nipples
C2195983  maceration on areola
C2195984  maceration on right areola (physical finding)
C2195985  maceration on left areola (physical finding)
C2195986  maceration on both areolae
C2195993  maceration on scrotum
C2195994  maceration on right side of scrotum
C2195995  maceration on left side of scrotum (physical finding)
C2195996  maceration on anterior aspect of scrotum
C2195997  maceration on posterior aspect of scrotum
C2196014  maceration on labia (physical finding)
C2196015  maceration labia right
C2196016  maceration labia left
C2196017  maceration labia bilateral
C2196177  nonspecific abnormal findings on prenatal screening (diagnosis)
C2196528  bilateral talipes
C2196977  bilateral chorea (physical finding)
C2197028  bilateral costovertebral angle tenderness (physical finding)
C2197283  1st supernumerary tooth at position no. ___
C2197691  penis hypospadias scrotal
C2197710  dimpling of skin of right breast (physical finding)
C2197711  dimpling of skin of left breast (physical finding)
C2197721  peau d'orange in both breasts (physical finding)
C2198280  newborn delivered in hospital by cesarean section (diagnosis)
C2198304  mass lesion of lateral ventricles
C2198305  mass lesion of right lateral ventricle
C2198306  mass lesion of left lateral ventricle (diagnosis)
C2198308  mass lesion of fourth ventricle (diagnosis)
C2198730  abdominal computed tomography kidney enlargement bilateral
C2198732  abdominal computed tomography kidney mass bilateral ___cm
C2198735  abdominal computed tomography kidney nephrocalcinosis bilateral
C2198742  abdominal computed tomography kidney mass calcified ___cm
C2198814  distal dorsal extent of angulated penile erection in degrees (physical finding)
C2198815  distal lateral extent of angulated penile erection in degrees (physical finding)
C2198816  distal lateral extent of angulated penile erection to left in degrees
C2198817  distal lateral extent of angulated penile erection to right in degrees (physical finding)
C2198821  distal tenderness of lateral shaft of penis
C2198822  distal tenderness of left lateral shaft of penis (physical finding)
C2198823  penis tenderness shaft lateral distal right
C2198824  distal ventral extent of angulated penile erection in degrees (physical finding)
C2198976  the flow was absent to the left ovary
C2198977  the flow was absent to the right ovary
C2198978  the flow was increased to the left ovary
C2198979  the flow was increased to the right ovary
C2198980  color duplex Doppler ultrasound of ovaries: abnormal flow of ovaries
C2198983  dorsal extent of angulated penile erection in degrees
C2198984  dorsal penile shaft tenderness (physical finding)
C2198985  dorsal penile shaft tenderness of distal portion (physical finding)
C2198986  dorsal penile shaft tenderness of proximal portion (physical finding)
C2199236  dysfunctional labor arrested (physical finding)
C2199237  dysfunctional labor protracted (physical finding)
C2199338  ear appearance at birth (physical finding)
C2199371  malformation of ear auricle (physical finding)
C2199372  ear auricle malformations cup ear
C2199373  ear auricle malformations prominent helical tail
C2199374  ear auricle malformations transverse bar
C2199406  ear cartilage is scant and unfolds slowly at birth
C2199407  ear cartilage well formed at birth and springs back (physical finding)
C2199420  ear flat and shapeless at birth (physical finding)
C2199540  ear shape at birth
C2199671  echocardiography: calcification of aortic valve cusp
C2199707  echocardiogram L ventricle aneurysm
C2199851  lumbar spine CT canal stenosis
C2200057  X-ray lumbosacral spine fracture compression
C2200463  right adnexal tenderness (physical finding)
C2200839  right breast incision number [1st, 2nd, etc.]
C2200840  incision of right breast with approximation of postsuture edges
C2200841  incision of right breast with poorly approximated postsuture edges
C2200842  incision of right breast with well approximated postsuture edges
C2200843  multiple incisions of right breast
C2200844  incision of right breast with adequately approximated postsuture edges (physical finding)
C2200846  ecchymotic tissue surrounding incision of right breast (physical finding)
C2200847  erythematous tissue surrounding incision of right breast
C2200848  fluctuant tissue surrounding incision of right breast
C2200849  foul smelling tissue surrounding incision of right breast
C2200850  indurated tissue surrounding incision of right breast (physical finding)
C2200851  swollen tissue surrounding incision of right breast (physical finding)
C2200852  tender tissue surrounding incision of right breast (physical finding)
C2200853  warm tissue surrounding incision of right breast
C2200854  mammogram microcalcifications of inferior lateral quadrant of right breast (procedure)
C2200855  mammogram microcalcifications of inferior medial quadrant of right breast (procedure)
C2200895  serosanguineous drainage from laceration of right breast
C2200904  mammogram mass #1 of inferior lateral quadrant of right breast BI-RADS category
C2200905  mammogram mass #2 of inferior lateral quadrant of right breast BI-RADS category (procedure)
C2200906  mammogram mass #3 of inferior lateral quadrant of right breast BI-RADS category (procedure)
C2200907  mammogram mass #1 of inferior medial quadrant of right breast BI-RADS category (procedure)
C2200908  mammogram mass #2 of inferior medial quadrant of right breast BI-RADS category
C2200909  mammogram mass #3 of inferior medial quadrant of right breast BI-RADS category
C2200910  mammogram mass #1 of superior lateral quadrant of right breast BI-RADS category (procedure)
C2200911  mammogram mass #2 of superior lateral quadrant of right breast BI-RADS category
C2200912  mammogram mass #3 of superior lateral quadrant of right breast BI-RADS category (procedure)
C2200913  mammogram mass #1 of superior medial quadrant of right breast BI-RADS category
C2200914  mammogram mass #2 of superior medial quadrant of right breast BI-RADS category
C2200915  mammogram mass #3 of superior medial quadrant of right breast BI-RADS category
C2200939  right breast tissue injury puncture
C2200940  puncture of right breast consistent with bullet entry wound with gunpowder residue
C2200941  right breast tissue puncture consist with bullet entry wound
C2200942  right breast tissue puncture consistent w/ bullet exit wound
C2200943  right breast tissue puncture consistent w/ entry bullet #___
C2200944  puncture of right breast consistent with entry wound of multiple bullets (physical finding)
C2200945  right breast tissue puncture consistent w/ exit bullet # ___
C2200946  puncture of right breast consistent with exit wound of multiple bullets (physical finding)
C2200947  right breast tissue injury puncture ice pick
C2200948  puncture of right breast consistent with entry wound of specified shrapnel fragment (#___) (physical finding)
C2200949  puncture of right breast consistent with entry wound of multiple shrapnel fragments (physical finding)
C2200950  puncture of right breast consistent with shrapnel entry wound (physical finding)
C2200951  puncture of right breast consistent with exit wound of specified shrapnel fragment (#___)
C2200952  puncture of right breast consistent with exit wound of multiple shrapnel fragments
C2200953  puncture of right breast consistent with shrapnel exit wound
C2200954  right breast tissue injury puncture erythema
C2200955  right breast tissue injury puncture knife
C2200956  right breast tissue injury puncture nail
C2200957  right breast tissue injury puncture needle
C2200958  right breast tissue injury puncture needle multiple
C2200959  right breast tissue injury puncture needle single
C2200960  right breast tissue injury puncture swelling
C2200961  right breast tissue injury puncture tenderness
C2200965  mammogram microcalcifications of superior lateral quadrant of right breast
C2200966  mammogram microcalcifications of superior medial quadrant of right breast
C2200967  incision of right breast with arterial bleeding (physical finding)
C2200968  inferior lateral to superior medial incision of right breast
C2200969  superior lateral to inferior medial incision of right breast
C2200970  incision of right breast with specified daily tube drainage (physical finding)
C2200971  incision of right breast with specified hourly tube drainage (physical finding)
C2200972  incision of right breast with specified total tube drainage
C2200973  incision of right breast with uniform healing ridge (physical finding)
C2200974  foul-smelling weeping incision of right breast (physical finding)
C2200975  serosanguineous drainage from incision of right breast (physical finding)
C2200976  incision of right breast with well-opposed edges (physical finding)
C2200980  bite of right breast
C2200982  incision of right breast (physical finding)
C2200983  incision of right breast with aligned margins (physical finding)
C2200984  bleeding incision of right breast
C2200985  incision of right breast with tissue bleeding (physical finding)
C2200986  incision of right breast with venous bleeding
C2200987  clean incision of right breast
C2200988  deep incision of right breast
C2200989  dehiscence of incision of right breast
C2200990  right breast tissue injury incision depth ___ mm
C2200991  direction of incision of right breast (physical finding)
C2200992  horizontal incision of right breast
C2200993  vertical incision of right breast (physical finding)
C2200994  dry incision of right breast
C2200995  edges of incision of right breast (physical finding)
C2200996  incision of right breast with ragged edges (physical finding)
C2200997  erythematous incision of right breast
C2200998  incision of right breast extending into muscle (physical finding)
C2200999  incision of right breast extending to bone
C2201000  incision of right breast extending to fascia
C2201001  full thickness incision of right breast
C2201002  indurated incision of right breast (physical finding)
C2201003  right breast tissue injury incision length ___ cm
C2201004  macerated incision of right breast
C2201005  open incision of right breast (physical finding)
C2201006  shape of incision of right breast
C2201007  angulated incision of right breast (physical finding)
C2201008  L-shaped incision of right breast (physical finding)
C2201009  V-shaped incision of right breast (physical finding)
C2201010  Y-shaped incision of right breast (physical finding)
C2201011  curvilinear incision of right breast (physical finding)
C2201012  irregularly shaped incision of right breast (physical finding)
C2201013  jagged incision of right breast (physical finding)
C2201014  straight incision of right breast (physical finding)
C2201015  incision of right breast with staples in place
C2201016  incision of right breast with sterile strips in place (physical finding)
C2201017  subcutaneous incision of right breast (physical finding)
C2201018  superficial incision of right breast (physical finding)
C2201019  incision of right breast with sutures in place (physical finding)
C2201020  incision of right breast with tube drainage (physical finding)
C2201021  unclean incision of right breast
C2201022  weeping incision of right breast
C2201023  bloody incision of right breast
C2201024  purulent incision of right breast (physical finding)
C2201025  serous drainage from incision of right breast
C2201026  well-healed incision of right breast (physical finding)
C2201027  right breast tissue injury incision width ___ cm
C2201059  avulsion of right breast
C2201073  weeping wound of right breast (physical finding)
C2201074  bloody wound of right breast (physical finding)
C2201075  purulent wound of right breast
C2201076  serous drainage from wound of right breast
C2201083  ultrasound breast abscess right breast
C2201084  ultrasound abscess right breast inferior lateral quadrant
C2201085  ultrasound abscess right breast inferior medial quadrant
C2201086  ultrasound abscess right breast superior lateral quadrant
C2201087  ultrasound abscess right breast superior medial quadrant
C2201088  ultrasound breast mass right breast
C2201090  wound bed of right breast with hard black eschar (physical finding)
C2201094  wound bed of right breast with soft black eschar (physical finding)
C2201109  ecchymotic tissue surrounding wound of right breast
C2201115  tender tissue surrounding wound of right breast (physical finding)
C2201121  foul-smelling weeping wound of right breast
C2201122  serosanguineous drainage from wound of right breast
C2201204  right cryptorchidism (physical finding)
C2201427  right ectopic testis (physical finding)
C2201428  testes ectopic right in high scrotal position
C2201429  right ectopic testis in inguinal region (physical finding)
C2201430  right ectopic testis in perineum
C2201543  epididymis mass right
C2202206  hydrocele of right scrotum
C2202383  labia majora laceration right depth
C2202384  labia majora laceration right edges
C2202385  labia majora laceration right edges ragged
C2202386  labia majora laceration right full thickness
C2202387  labia majora laceration right jagged
C2202388  labia majora laceration right L-shaped
C2202389  labia majora laceration right orientation
C2202390  labia majora laceration right orientation longitudinal
C2202391  labia majora laceration right orientation transverse
C2202392  postsuture edges of laceration on the right labia majora were adequately approximated
C2202393  postsuture approximation of laceration edges on the right labia majora
C2202394  labia majora laceration right postsuture edges poorly app
C2202395  postsuture edges of laceration on the right labia majora were well-approximated
C2202396  labia majora laceration right shape
C2202397  labia majora laceration right straight line
C2202398  labia majora laceration right superficial (epidermal only
C2202399  labia majora laceration right V-shaped
C2202400  labia majora laceration right Y-shaped
C2202401  labia minora laceration right depth
C2202402  labia minora laceration right edges
C2202403  labia minora laceration right edges ragged
C2202404  labia minora laceration right full thickness
C2202405  labia minora laceration right jagged
C2202406  labia minora laceration right L-shaped
C2202407  labia minora laceration right orientation
C2202408  labia minora laceration right orientation longitudinal
C2202409  labia minora laceration right orientation transverse
C2202410  postsuture edges of laceration on the right labia minora were adequately approximated
C2202411  postsuture approximation of laceration edges on the right labia minora
C2202412  labia minora laceration right postsuture edges poorly app
C2202413  postsuture edges of laceration on the right labia minora were well-approximated
C2202414  labia minora laceration right shape
C2202415  labia minora laceration right straight line
C2202416  labia minora laceration right superficial (epidermal only
C2202417  labia minora laceration right V-shaped
C2202418  labia minora laceration right Y-shaped
C2202701  bladder incontinence tested with ___ cc fluid in bladder
C2202793  vulvar ulcer with beefy red base
C2202794  vulvar ulcer with erythematous border
C2202795  vulvar ulcer with indurated edge
C2202796  vulvar ulcer with necrotic base
C2202797  vulvar ulcer with undermined edge (physical finding)
C2202819  warmth of both breasts
C2202824  warmth of breast (symptom)
C2202894  warmth of left breast (symptom)
C2202939  warmth of right breast (symptom)
C2202973  watery cervical discharge
C2203054  a well-defined curvature to the ear lobe was seen at birth
C2205816  lump or mass of right breast
C2205817  lump or mass of left breast
C2207230  ultrasound trans-vaginal obstetric ___ fetuses w/ heartbeat
C2208523  biopsy of embryo blastomere five or fewer embryos
C2208524  biopsy of embryo blastomere more than five embryos
C2210289  MRA renal artery stenosis right proximal (cm)
C2210290  MRA renal artery stenosis right distal
C2210291  MRA renal artery stenosis left proximal (cm)
C2210292  MRA renal artery stenosis left distal
C2210308  abdominal computed tomography kidney mass size (length) (___ cm)
C2210309  abdominal computed tomography kidney mass size (width) (___cm)
C2210310  CT of abdomen mass of upper pole of kidney
C2210311  CT of abdomen mass of middle pole of kidney
C2210312  CT of abdomen mass of lower pole of kidney
C2210313  abdominal magnetic resonance imaging kidney mass length (___ cm)
C2210314  abdominal magnetic resonance imaging kidney mass size (width) (___cm)
C2210315  abdominal MRI kidney mass upper pole
C2210316  abdominal MRI kidney mass mid pole
C2210317  abdominal MRI kidney mass lower pole
C2210346  PET scan L breast superior lateral quadrant mass 1 ___ cm
C2210347  left breast superior lateral quadrant mass 2
C2210348  left breast superior lateral quadrant mass 3
C2215748  allergic vaginal reaction to semen (history)
C2216472  male infant
C2217926  malpresentation (physical finding)
C2217934  a mentum anterior face presentation was observed
C2217935  a mentum posterior face presentation was observed
C2218507  right scrotal edema
C2218508  hematoma of right scrotum
C2218509  scrotum laceration right
C2218510  scrotum laceration right depth
C2218511  scrotum laceration right edges
C2218512  scrotum laceration right edges ragged
C2218513  scrotum laceration right to fascia
C2218514  scrotum laceration right to fat
C2218515  scrotum laceration right to muscle
C2218516  scrotum laceration right extending into testicle
C2218517  scrotum laceration right to tunica vaginalis
C2218518  scrotum laceration right full thickness
C2218519  scrotum laceration right jagged
C2218520  scrotum laceration right L-shaped
C2218521  scrotum laceration right shape
C2218522  scrotum laceration right straight line
C2218523  scrotum laceration right superficial (epidermal only)
C2218524  scrotum laceration R postsuture edge adequately approximated
C2218525  scrotum laceration right edges postsuture approximation
C2218526  scrotum laceration R postsuture edges poorly approximated
C2218527  scrotum laceration right postsuture edges well-approximated
C2218528  scrotum laceration right V-shaped
C2218529  scrotum laceration right Y-shaped
C2218531  mass in right scrotum
C2218532  right scrotal tenderness (physical finding)
C2218796  atrophic right testis
C2218797  testes mass right
C2218800  tender right testis
C2219168  right ureterostomy by exam (physical finding)
C2219169  right ureterostomy narrowed by exam (physical finding)
C2219170  right ureterostomy obstructed by exam (physical finding)
C2219171  ureterostomy right prolapsed
C2219172  right ureterostomy with blood by exam
C2219173  right varicocele
C2219180  right vulvar mass
C2219369  rubella during pregnancy
C2219373  rugae cover entire scrotum at birth (physical finding)
C2219374  rugae on anterior scrotum only at birth
C2219518  sanguineous penile discharge (physical finding)
C2219710  multiple genital lesions (symptom)
C2219713  first menstrual period before age 9
C2219723  abnormal milky nipple discharge
C2220100  number of hours since child's last urination
C2220565  CT of abdomen enlarged kidney
C2220566  CT of abdomen enlarged kidney on left
C2220567  CT of abdomen enlarged kidney on right
C2220572  abdominal computed tomography kidney mass
C2220573  CT of abdomen mass of renal pelvis
C2220581  abdominal CT mass of left kidney
C2220615  abdominal computed tomography kidney cysts multiple, bilateral
C2220617  abdominal computed tomography kidney cysts multiple, left only
C2220619  abdominal computed tomography kidney cysts multiple, right only
C2220627  abdominal computed tomography kidney nephrocalcinosis
C2220628  abdominal computed tomography kidney nephrocalcinosis left only
C2220629  abdominal computed tomography kidney nephrocalcinosis right only
C2222173  nephrostomy in the right flank
C2222174  nephrostomy in the left flank
C2222183  nephrostomy present with clean, nonerythematous skin and a pink, moist mucosa
C2222184  skin surrounding nephrostomy
C2222185  erythematous skin surrounding nephrostomy
C2222186  fluctuant skin surrounding nephrostomy
C2222187  purulent discharge of skin surrounding nephrostomy (physical finding)
C2222188  tender skin surrounding nephrostomy (physical finding)
C2222189  nephrostomy obstructed (physical finding)
C2222191  abdominal suprapubic catheter (physical finding)
C2222300  female infant
C2223874  normal pregnancy delivery with cervical laceration (treatment)
C2223875  normal pregnancy delivery with cervical laceration at specified location
C2224928  meibomianitis of right upper eyelid
C2224929  grade of meibomianitis of right upper eyelid
C2224930  meibomianitis of right lower eyelid (physical finding)
C2224931  grade of meibomianitis of right lower eyelid (physical finding)
