C0003962  Ascites
C2174257  erythema of dorsal aspect of both feet (physical finding)
C2174259  diffuse erythema of plantar aspect of foot (physical finding)
C2174260  localized erythema of plantar aspect of foot
C2174261  erythema of plantar aspect of foot localized to anatomical compartment
C2174262  erythema of plantar aspect of right foot
C2174263  erythema of plantar aspect of left foot (physical finding)
C2174264  erythema of plantar aspect of both feet (physical finding)
C2174265  erythema of first tarsometatarsal joint
C2174266  erythema of first tarsometatarsal joint of right foot (physical finding)
C2174267  erythema of first tarsometatarsal joint of left foot
C2174268  erythema of first tarsometatarsal joints of both feet (physical finding)
C2174422  episcleritis of medial aspect of right eye (physical finding)
C2174423  episcleritis of lateral aspect of right eye (physical finding)
C2174424  episcleritis of superior aspect of right eye (physical finding)
C2174425  episcleritis of inferior aspect of right eye
C2174426  diffuse episcleritis of right eye (physical finding)
C2174427  episcleritis of medial aspect of left eye
C2174428  episcleritis of lateral aspect of left eye
C2174429  episcleritis of superior aspect of left eye (physical finding)
C2174430  episcleritis of inferior aspect of left eye (physical finding)
C2174431  diffuse episcleritis of left eye (physical finding)
C2174458  scleritis right eye medial
C2174459  scleritis right eye lateral
C2174460  scleritis right eye superior
C2174461  scleritis right eye inferior
C2174462  scleritis right eye diffuse
C2174463  scleritis left eye medial
C2174464  scleritis left eye lateral
C2174465  scleritis left eye superior
C2174466  scleritis left eye inferior
C2174467  diffuse scleritis of left eye
C2174504  central epithelial dendritic keratitis was observed
C2174505  mid-peripheral epithelial dendritic keratitis was observed
C2174506  mid-peripheral dendritic keratitis at specified location
C2174507  limbal epithelial dendritic keratitis was observed
C2174508  dendritic keratitis of limbus at specified location (physical finding)
C2174510  filamentary keratitis of right cornea
C2174511  filamentary keratitis of central aspect of right cornea
C2174512  filamentary keratitis of superior aspect of right cornea
C2174513  filamentary keratitis of inferior aspect of right cornea
C2174514  filamentary keratitis of medial aspect of right cornea (physical finding)
C2174515  filamentary keratitis of lateral aspect of right cornea
C2174516  diffuse filamentary keratitis of right cornea (physical finding)
C2174517  filamentary keratitis of left cornea (physical finding)
C2174518  filamentary keratitis of central aspect of left cornea
C2174519  filamentary keratitis of superior aspect of left cornea
C2174520  filamentary keratitis of inferior aspect of left cornea (physical finding)
C2174521  filamentary keratitis of medial aspect of left cornea
C2174522  filamentary keratitis of lateral aspect of left cornea
C2174523  diffuse filamentary keratitis of left cornea
C2174524  punctate keratitis of right cornea
C2174525  punctate keratitis of superior aspect of right cornea
C2174526  punctate keratitis of inferior aspect of right cornea (physical finding)
C2174527  punctate keratitis of medial aspect of right cornea
C2174528  punctate keratitis of lateral aspect of right cornea (physical finding)
C2174529  diffuse punctate keratitis of right cornea
C2174530  punctate keratitis of left cornea (physical finding)
C2174531  punctate keratitis of central aspect of left cornea
C2174532  punctate keratitis of superior aspect of left cornea
C2174533  punctate keratitis of inferior aspect of left cornea
C2174534  punctate keratitis of medial aspect of left cornea
C2174535  punctate keratitis of lateral aspect of left cornea (physical finding)
C2174536  diffuse punctate keratitis of left cornea
C2174537  disciform keratitis of right cornea
C2174538  grade of disciform keratitis of right cornea
C2174539  disciform keratitis of left cornea (physical finding)
C2174540  grade of disciform keratitis of left cornea (physical finding)
C2174541  bilateral disciform keratitis
C2174578  uveitis of both eyes (physical finding)
C2174707  disc blurred marg Foster-Kennedy syndrome atrophy right disc
C2174708  disc blurred marg Foster-Kennedy syndrome atrophy left disc
C2175066  edema of macula of right eye (physical finding)
C2175067  edema of upper macula of right eye (physical finding)
C2175068  edema of lower macula of right eye (physical finding)
C2175069  edema of outer macula of right eye (physical finding)
C2175070  edema of inner macula of right eye (physical finding)
C2175071  edema of central aspect of macula of right eye (physical finding)
C2175090  macular edema of left eye
C2175091  edema of upper macula of left eye (physical finding)
C2175092  edema of lower macula of left eye (physical finding)
C2175093  edema of outer macula of left eye
C2175094  edema of inner macula of left eye (physical finding)
C2175095  edema of central aspect of macula of left eye
C2175581  skin erythema chagoma
C2176198  knee erythema right
C2176199  knee erythema left
C2176200  erythema of both knees (physical finding)
C2176201  ankle erythema right
C2176202  erythema of left ankle (physical finding)
C2176203  ankle erythema bilateral
C2177199  erythema of anterior surface of right ankle (physical finding)
C2177200  erythema of anteromedial surface of right ankle (physical finding)
C2177201  erythema of medial surface of right ankle
C2177202  ankle erythema right posteromedial
C2177203  ankle erythema right posterior
C2177204  ankle erythema right posterolateral
C2177205  erythema of lateral surface of right ankle (physical finding)
C2177206  erythema of anterolateral surface of right ankle (physical finding)
C2177207  erythema of anterior surface of left ankle
C2177208  ankle erythema left anteromedial
C2177209  erythema of medial surface of left ankle (physical finding)
C2177210  erythema of posteromedial surface of left ankle
C2177211  ankle erythema left posterior
C2177212  erythema of posterolateral surface of left ankle (physical finding)
C2177213  ankle erythema left lateral
C2177214  erythema of anterolateral surface of left ankle
C2178223  dry gangrene of thumb
C2178224  dry gangrene of right thumb (physical finding)
C2178225  dry gangrene of metacarpophalangeal joint of right thumb
C2178226  dry gangrene of proximal phalanx of right thumb (physical finding)
C2178227  dry gangrene of interphalangeal joint of right thumb (physical finding)
C2178228  dry gangrene of distal phalanx of right thumb
C2178229  diffuse dry gangrene of right thumb (physical finding)
C2178230  dry gangrene of left thumb (physical finding)
C2178231  dry gangrene of metacarpophalangeal joint of left thumb
C2178232  dry gangrene of proximal phalanx of left thumb (physical finding)
C2178233  dry gangrene of interphalangeal joint of left thumb (physical finding)
C2178234  dry gangrene of distal phalanx of left thumb
C2178235  diffuse dry gangrene of left thumb
C2178236  dry gangrene of both thumbs (physical finding)
C2178237  dry gangrene of index finger (physical finding)
C2178238  dry gangrene of index finger of right hand
C2178239  dry gangrene of metacarpophalangeal joint of index finger of right hand (physical finding)
C2178240  dry gangrene of proximal phalanx of index finger of right hand (physical finding)
C2178241  dry gangrene of PIP joint of index finger of right hand
C2178242  dry gangrene of middle phalanx of index finger of right hand (physical finding)
C2178243  dry gangrene of distal interphalangeal joint of index finger of right hand (physical finding)
C2178244  dry gangrene of distal phalanx of index finger of right hand (physical finding)
C2178245  diffuse dry gangrene of index finger of right hand (physical finding)
C2178246  dry gangrene of index finger of left hand
C2178247  dry gangrene of MCP joint of index finger of left hand
C2178248  dry gangrene of proximal phalanx of index finger of left hand (physical finding)
C2178249  dry gangrene of proximal interphalangeal joint of index finger of left hand (physical finding)
C2178250  dry gangrene of middle phalanx of index finger of left hand
C2178251  dry gangrene of distal interphalangeal joint of index finger of left hand (physical finding)
C2178252  dry gangrene of distal phalanx of index finger of left hand
C2178253  diffuse dry gangrene of index finger of left hand (physical finding)
C2178254  dry gangrene of index fingers of both hands (physical finding)
C2178255  dry gangrene of middle finger (physical finding)
C2178256  dry gangrene of middle finger of right hand (physical finding)
C2178257  dry gangrene of metacarpophalangeal joint of middle finger of right hand
C2178258  dry gangrene of proximal phalanx of middle finger of right hand
C2178259  dry gangrene of proximal interphalangeal joint of middle finger of right hand
C2178260  dry gangrene of middle phalanx of middle finger of right hand
C2178261  dry gangrene of distal interphalangeal joint of middle finger of right hand (physical finding)
C2178262  dry gangrene of distal phalanx of middle finger of right hand
C2178263  diffuse dry gangrene of middle finger of right hand
C2178264  dry gangrene of middle finger of left hand (physical finding)
C2178265  dry gangrene of metacarpophalangeal joint of middle finger of left hand (physical finding)
C2178266  dry gangrene of proximal phalanx of middle finger of left hand
C2178267  dry gangrene of proximal interphalangeal joint of middle finger of left hand (physical finding)
C2178268  dry gangrene of middle phalanx of middle finger of left hand
C2178269  dry gangrene of distal interphalangeal joint of middle finger of left hand
C2178270  dry gangrene of distal phalanx of middle finger of left hand (physical finding)
C2178271  diffuse dry gangrene of middle finger of left hand (physical finding)
C2178272  dry gangrene of middle fingers of both hands
C2178273  dry gangrene of ring finger (physical finding)
C2178274  dry gangrene of ring finger of right hand
C2178275  dry gangrene of metacarpophalangeal joint of ring finger of right hand
C2178276  dry gangrene of proximal phalanx of ring finger of right hand
C2178277  dry gangrene of proximal interphalangeal joint of ring finger of right hand (physical finding)
C2178278  dry gangrene of middle phalanx of ring finger of right hand (physical finding)
C2178279  dry gangrene of distal interphalangeal joint of ring finger of right hand
C2178280  dry gangrene of distal phalanx of ring finger of right hand
C2178281  diffuse dry gangrene of ring finger of right hand (physical finding)
C2178282  dry gangrene of ring finger of left hand
C2178283  dry gangrene of MCP joint of ring finger of left hand
C2178284  dry gangrene of proximal phalanx of ring finger of left hand (physical finding)
C2178285  dry gangrene of proximal interphalangeal joint of ring finger of left hand
C2178286  dry gangrene of middle phalanx of ring finger of left hand
C2178287  dry gangrene of DIP joint of ring finger of left hand
C2178288  dry gangrene of distal phalanx of ring finger of left hand
C2178289  diffuse dry gangrene of ring finger of left hand (physical finding)
C2178290  dry gangrene of ring fingers of both hands (physical finding)
C2178291  dry gangrene of little finger
C2178292  dry gangrene of little finger of right hand
C2178293  dry gangrene of metacarpophalangeal joint of little finger of right hand (physical finding)
C2178294  dry gangrene of proximal phalanx of little finger of right hand
C2178295  dry gangrene of proximal interphalangeal joint of little finger of right hand (physical finding)
C2178296  dry gangrene of middle phalanx of little finger of right hand (physical finding)
C2178297  dry gangrene of distal interphalangeal joint of little finger of right hand (physical finding)
C2178298  dry gangrene of distal phalanx of little finger of right hand (physical finding)
C2178299  diffuse dry gangrene of little finger of right hand (physical finding)
C2178300  dry gangrene of little finger of left hand (physical finding)
C2178301  dry gangrene of metacarpophalangeal joint of little finger of left hand (physical finding)
C2178302  dry gangrene of proximal phalanx of little finger of left hand
C2178303  dry gangrene of proximal interphalangeal joint of little finger of left hand
C2178304  dry gangrene of middle phalanx of little finger of left hand
C2178305  dry gangrene of distal interphalangeal joint of little finger of left hand (physical finding)
C2178306  dry gangrene of distal phalanx of little finger of left hand
C2178307  diffuse dry gangrene of little finger of left hand
C2178308  dry gangrene of little fingers of both hands
C2178309  wet gangrene of thumb
C2178310  wet gangrene of right thumb (physical finding)
C2178311  wet gangrene thumb right MCP
C2178312  wet gangrene of proximal phalanx of right thumb
C2178313  wet gangrene thumb right IP
C2178314  wet gangrene of distal phalanx of right thumb
C2178315  diffuse wet gangrene of right thumb
C2178316  wet gangrene of left thumb (physical finding)
C2178317  wet gangrene thumb left MCP
C2178318  wet gangrene of proximal phalanx of left thumb
C2178319  wet gangrene thumb left IP
C2178320  wet gangrene of distal phalanx of left thumb
C2178321  diffuse wet gangrene of left thumb
C2178322  wet gangrene of both thumbs (physical finding)
C2178323  wet gangrene of index finger
C2178324  wet gangrene of index finger of right hand (physical finding)
C2178325  wet gangrene index finger right MCP
C2178326  wet gangrene of proximal phalanx of index finger of right hand (physical finding)
C2178327  wet gangrene index finger right PIP
C2178328  wet gangrene of middle phalanx of index finger of right hand (physical finding)
C2178329  wet gangrene index finger right DIP
C2178330  wet gangrene of distal phalanx of index finger of right hand
C2178331  diffuse wet gangrene of index finger of right hand (physical finding)
C2178332  wet gangrene of index finger of left hand (physical finding)
C2178333  wet gangrene index finger left MCP
C2178334  wet gangrene of proximal phalanx of index finger of left hand (physical finding)
C2178335  wet gangrene index finger left PIP
C2178336  wet gangrene of middle phalanx of index finger of left hand
C2178337  wet gangrene index finger left DIP
C2178338  wet gangrene of distal phalanx of index finger of left hand (physical finding)
C2178339  diffuse wet gangrene of index finger of left hand (physical finding)
C2178340  wet gangrene of index fingers of both hands
C2178341  wet gangrene of middle finger
C2178342  wet gangrene of middle finger of right hand (physical finding)
C2178343  wet gangrene middle finger right MCP
C2178344  wet gangrene of proximal phalanx of middle finger of right hand (physical finding)
C2178345  wet gangrene middle finger right PIP
C2178346  wet gangrene of middle phalanx of middle finger of right hand
C2178347  wet gangrene middle finger right DIP
C2178348  wet gangrene of distal phalanx of middle finger of right hand (physical finding)
C2178349  diffuse wet gangrene of middle finger of right hand (physical finding)
C2178350  wet gangrene of middle finger of left hand
C2178351  wet gangrene middle finger left MCP
C2178352  wet gangrene of proximal phalanx of middle finger of left hand (physical finding)
C2178353  wet gangrene middle finger left PIP
C2178354  wet gangrene of middle phalanx of middle finger of left hand (physical finding)
C2178355  wet gangrene middle finger left DIP
C2178356  wet gangrene of distal phalanx of middle finger of left hand (physical finding)
C2178357  diffuse wet gangrene of middle finger of left hand
C2178358  wet gangrene of middle fingers of both hands (physical finding)
C2178359  wet gangrene of ring finger (physical finding)
C2178360  wet gangrene of ring finger of right hand (physical finding)
C2178361  wet gangrene ring finger right MCP
C2178362  wet gangrene of proximal phalanx of ring finger of right hand (physical finding)
C2178363  wet gangrene ring finger right PIP
C2178364  wet gangrene of middle phalanx of ring finger of right hand (physical finding)
C2178365  wet gangrene ring finger right DIP
C2178366  wet gangrene of distal phalanx of ring finger of right hand (physical finding)
C2178367  diffuse wet gangrene of ring finger of right hand (physical finding)
C2178368  wet gangrene of ring finger of left hand (physical finding)
C2178369  wet gangrene ring finger left MCP
C2178370  wet gangrene of proximal phalanx of ring finger of left hand (physical finding)
C2178371  wet gangrene ring finger left PIP
C2178372  wet gangrene of middle phalanx of ring finger of left hand
C2178373  wet gangrene ring finger left DIP
C2178374  wet gangrene of distal phalanx of ring finger of left hand (physical finding)
C2178375  diffuse wet gangrene of ring finger of left hand (physical finding)
C2178376  wet gangrene of ring fingers of both hands
C2178377  wet gangrene of little finger
C2178378  wet gangrene of little finger of right hand
C2178379  wet gangrene little finger right MCP
C2178380  wet gangrene of proximal phalanx of little finger of right hand
C2178381  wet gangrene little finger right PIP
C2178382  wet gangrene of middle phalanx of little finger of right hand (physical finding)
C2178383  wet gangrene little finger right DIP
C2178384  wet gangrene of distal phalanx of little finger of right hand (physical finding)
C2178385  diffuse wet gangrene of little finger of right hand (physical finding)
C2178386  wet gangrene of little finger of left hand (physical finding)
C2178387  wet gangrene little finger left MCP
C2178388  wet gangrene of proximal phalanx of little finger of left hand (physical finding)
C2178389  wet gangrene little finger left PIP
C2178390  wet gangrene of middle phalanx of little finger of left hand
C2178391  wet gangrene little finger left DIP
C2178392  wet gangrene of distal phalanx of little finger of left hand (physical finding)
C2178393  diffuse wet gangrene of little finger of left hand
C2178394  wet gangrene of little finger of both hands (physical finding)
C2178676  erythema of volar aspect of right mid forearm (physical finding)
C2178677  erythema of dorsal aspect of right mid forearm
C2178678  erythema of volar aspect of left distal forearm (physical finding)
C2178679  erythema of dorsal aspect of left mid forearm
C2178684  medial aspect of erythema of right forearm
C2178685  diffuse erythema of medial aspect of right forearm (physical finding)
C2178686  erythema of medial aspect of right proximal forearm (physical finding)
C2178687  erythema of medial aspect of right mid forearm (physical finding)
C2178688  erythema of medial aspect of right distal forearm (physical finding)
C2178689  erythema of lateral aspect of right forearm
C2178690  diffuse erythema of lateral aspect of right forearm (physical finding)
C2178691  erythema of lateral aspect of right proximal forearm (physical finding)
C2178692  erythema of lateral aspect of right mid forearm
C2178693  erythema of lateral aspect of right distal forearm (physical finding)
C2178694  erythema of medial aspect of left forearm (physical finding)
C2178695  erythema of lateral aspect of left forearm (physical finding)
C2178696  diffuse erythema of medial aspect of left forearm (physical finding)
C2178697  erythema of medial aspect of left proximal forearm (physical finding)
C2178698  erythema of medial aspect of left mid forearm (physical finding)
C2178699  erythema of medial aspect of left distal forearm (physical finding)
C2178700  diffuse erythema of lateral aspect of left forearm (physical finding)
C2178701  erythema of lateral aspect of left proximal forearm (physical finding)
C2178702  erythema of lateral aspect of left mid forearm
C2178703  erythema of lateral aspect of left distal forearm (physical finding)
C2178981  erythema of anterior aspect of mid right arm (physical finding)
C2178982  erythema of posterior aspect of mid right arm
C2178983  erythema of medial aspect of mid right arm (physical finding)
C2178984  erythema of lateral aspect of mid right arm (physical finding)
C2178985  erythema of anterior aspect of mid left arm (physical finding)
C2178986  erythema of posterior aspect of mid left arm (physical finding)
C2178987  erythema of medial aspect of mid left arm
C2178988  erythema of lateral aspect of mid left arm (physical finding)
C2180209  erythema of proximal right arm
C2180210  erythema of mid right arm (physical finding)
C2180211  erythema of distal right arm
C2180212  erythema of proximal left arm (physical finding)
C2180213  erythema of mid left arm (physical finding)
C2180214  erythema of distal left arm (physical finding)
C2180227  erythema of right proximal forearm
C2180228  erythema of right mid forearm (physical finding)
C2180229  erythema of right distal forearm
C2180230  erythema of left proximal forearm (physical finding)
C2180231  erythema of left mid forearm (physical finding)
C2180232  erythema of left distal forearm
C2180239  circumferential erythema of right proximal forearm
C2180240  circumferential erythema of right mid forearm
C2180241  circumferential erythema of right distal forearm (physical finding)
C2180242  circumferential erythema of left proximal forearm (physical finding)
C2180243  circumferential erythema of left mid forearm (physical finding)
C2180244  circumferential erythema of left distal forearm (physical finding)
C2180537  abdominal wall puncture wound consistent with bullet entry bullet #___
C2180538  puncture of abdominal wall consistent with entry wound of multiple bullets (physical finding)
C2180539  abdominal wall puncture wound consistent with bullet exit bullet #___
C2180540  abdominal puncture wound consistent with exit of multiple bullets
C2181187  MRCP pancreas ____cm cyst ampulla of Vater
C2181192  ultrasound abdominal spleen infarct
C2181193  abdominal ultrasound splenic mass
C2181194  ultrasound abdominal spleen mass ___cm echogenicity
C2181195  ultrasound abdominal spleen absent
C2181196  ultrasound abdominal spleen multiple
C2181198  ultrasound abdominal liver infarct
C2181201  ultrasound abdominal liver cystic
C2181202  ultrasound abdominal liver A-V fistula
C2181396  abdominal computed tomography alimentary tract obstruction small intestinal
C2181499  MRCP common bile duct stricture middle
C2183206  laparoscopy (diagnostic) large intestine cyst (___ cm)
C2183207  laparoscopy (diagnostic) large intestine mass (___ cm)
C2183218  laparoscopy (diagnostic) small intestine mass (___ cm)
C2183446  dysphagia worse with liquids than solids
C2183447  difficulty swallowing solids more than liquids (symptom)
C2185961  low rectovaginal fistula (physical finding)
C2185963  low vesicovaginal fistula
C2186510  reported positive HIV test with no symptoms of infection (history)
C2188002  unclean wound of anus
C2188255  X-ray UGI esophageal motility diffuse esophageal spasm
C2188256  upper GI series x-ray hypertensive lower sphincter
C2189019  vagina laceration anterior wall (cm) actively bleeding
C2189020  vagina laceration anterior wall (cm) discharge
C2189021  vagina laceration anterior wall (cm) discharge mucous
C2189022  vagina laceration anterior wall (cm) discharge purulent
C2189023  size of laceration on anterior vaginal wall with serosanguineous discharge (physical finding)
C2189024  vagina laceration anterior wall (___ cm)
C2189025  vagina laceration anterior wall bilaterally (___ cm)
C2189026  vagina laceration anterior wall left (___ cm)
C2189027  vagina laceration anterior wall right (___ cm)
C2189028  vagina laceration fourchette (___ cm)
C2189029  vagina laceration posterior wall (cm) actively bleeding
C2189030  vagina laceration posterior wall (cm) discharge
C2189031  vagina laceration posterior wall (cm) discharge mucous
C2189032  vagina laceration posterior wall (cm) discharge purulent
C2189033  size of laceration on posterior vaginal wall with serosanguineous discharge
C2189034  vagina laceration posterior wall (___ cm)
C2189035  vagina laceration posterior wall bilaterally (___ cm)
C2189036  vagina laceration posterior wall left (___ cm)
C2189037  vagina laceration posterior wall right (___ cm)
C2189038  vagina laceration sidewall (cm) actively bleeding
C2189039  vagina laceration sidewall (cm) discharge
C2189040  vagina laceration sidewall (cm) discharge mucous
C2189041  vagina laceration sidewall (cm) discharge purulent
C2189042  vagina laceration sidewall (cm) discharge serosanguineous
C2189043  vagina laceration sidewall (___ cm)
C2189044  vagina laceration sidewall bilaterally (___ cm)
C2189045  vagina laceration sidewall left (___ cm)
C2189046  vagina laceration sidewall right (___ cm)
C2195230  erythema of upper back (physical finding)
C2195231  erythema of right upper back
C2195232  erythema of right upper paraspinal region
C2195233  erythema of left upper paraspinal region
C2195234  erythema of left upper back (physical finding)
C2195235  erythema of mid back
C2195236  erythema of right mid back
C2195237  erythema of right mid paraspinal region (physical finding)
C2195238  erythema of left mid paraspinal region (physical finding)
C2195239  erythema of left mid back (physical finding)
C2195240  erythema of lower back
C2195241  erythema of right lower back (physical finding)
C2195242  erythema of right lower paraspinal region (physical finding)
C2195243  erythema of left lower paraspinal region
C2195244  erythema of left lower back
C2195744  bitemporal wasting
C2196360  erythema of right hand (physical finding)
C2196361  erythema of left hand
C2196362  erythema of both hands (physical finding)
C2196507  erythema of right foot (physical finding)
C2196508  erythema of left foot (physical finding)
C2196509  erythema of both feet
C2196567  digital necrosis of fingers dry gangrene right hand
C2196568  digital necrosis of fingers dry gangrene left hand
C2196569  digital necrosis of fingers dry gangrene bilaterally
C2196573  felon of right hand (physical finding)
C2196574  felon of left hand (physical finding)
C2196575  felon of both hands (physical finding)
C2196957  erythema of inner thigh (physical finding)
C2197137  abdominal tissue injury puncture consistent with shrapnel entry wound
C2197138  abdominal wall puncture wound consistent with shrapnel entry fragment #___
C2197139  abdominal tissue puncture consistent with shrapnel entry multiple fragments
C2197140  abdominal tissue injury puncture consistent with shrapnel exit wound
C2197141  abdominal tissue puncture consistent with shrapnel exit fragment #___
C2197142  abdominal tissue puncture consistent with shrapnel exit multiple fragments
C2197283  1st supernumerary tooth at position no. ___
C2197467  right anterior cervical lymphadenopathy
C2197468  bilateral anterior cervical lymphadenopathy
C2197469  enlarged, rubbery right cervical lymph node (physical finding)
C2197470  enlarged, fluctuant right cervical lymph node
C2197471  enlarged, hard right cervical lymph node (physical finding)
C2197472  enlarged, tender cervical lymph nodes bilaterally (physical finding)
C2197473  bilateral cervical lymphadenopathy with draining sinus tract
C2197474  enlarged, rubbery right submandibular lymph node (physical finding)
C2197475  enlarged, fluctuant right submandibular lymph node (physical finding)
C2197476  enlarged, hard right submandibular lymph node (physical finding)
C2197477  submandib lymph nodes enlarged right draining sinus tract
C2197478  enlarged submandibular lymph nodes bilaterally with draining sinus tract (physical finding)
C2197479  enlarged, rubbery right supraclavicular lymph node
C2197480  enlarged, fluctuant right supraclavicular lymph node (physical finding)
C2197481  enlarged, hard right supraclavicular lymph node
C2197482  enlarged right supraclavicular lymph node with draining sinus tract (physical finding)
C2197483  enlarged, hard supraclavicular lymph nodes bilaterally (physical finding)
C2197484  bilateral supraclavicular lymphadenopathy with draining sinus tract
C2197485  enlarged, rubbery right preauricular lymph node
C2197486  enlarged, fluctuant right preauricular lymph node
C2197487  enlarged, hard right preauricular lymph node
C2197488  enlarged, rubbery right postauricular lymph node
C2197489  enlarged, fluctuant right postauricular lymph node
C2197490  enlarged, hard right postauricular lymph node (physical finding)
C2197491  enlarged, rubbery right suboccipital lymph node (physical finding)
C2197492  enlarged, fluctuant right suboccipital lymph node
C2197493  enlarged, hard right suboccipital lymph node
C2197494  consistency of enlarged right axillary lymph node
C2197495  enlarged, rubbery right axillary lymph node
C2197496  enlarged, fluctuant right axillary lymph node
C2197497  enlarged, hard right axillary lymph node
C2197498  enlarged, mobile right axillary lymph node (physical finding)
C2197499  enlarged, fixed right axillary lymph node (physical finding)
C2197500  enlarged, tender right axillary lymph node
C2197501  enlarged, suppurative right axillary lymph node (physical finding)
C2197502  right axillary lymphadenopathy with draining sinus tract
C2197503  consistency of enlarged left axillary lymph node
C2197504  enlarged, mobile left axillary lymph node (physical finding)
C2197505  enlarged, fixed left axillary lymph node (physical finding)
C2197506  enlarged, tender left axillary lymph node (physical finding)
C2197507  enlarged, suppurative left axillary lymph node (physical finding)
C2197508  left axillary lymphadenopathy with draining sinus tract
C2197509  consistency of bilaterally enlarged axillary lymph nodes (physical finding)
C2197510  enlarged, rubbery axillary lymph nodes bilaterally
C2197511  enlarged, fluctuant axillary lymph nodes bilaterally
C2197512  enlarged, hard axillary lymph nodes bilaterally
C2197513  enlarged, mobile axillary lymph nodes bilaterally (physical finding)
C2197514  enlarged, fixed axillary lymph nodes bilaterally (physical finding)
C2197515  enlarged, tender axillary lymph nodes bilaterally (physical finding)
C2197516  enlarged, suppurative axillary lymph nodes bilaterally
C2197517  bilateral axillary lymphadenopathy with draining sinus tract
C2197518  consistency of enlarged right epitrochlear lymph node (physical finding)
C2197519  enlarged, rubbery right epitrochlear lymph node
C2197520  enlarged, fluctuant right epitrochlear lymph node (physical finding)
C2197521  enlarged, hard right epitrochlear lymph node (physical finding)
C2197522  enlarged, mobile right epitrochlear lymph node (physical finding)
C2197523  enlarged, fixed right epitrochlear lymph node (physical finding)
C2197524  enlarged, tender right epitrochlear lymph node (physical finding)
C2197525  enlarged, suppurative right epitrochlear lymph node
C2197526  right epitrochlear lymphadenopathy with draining sinus tract
C2197527  consistency of enlarged left epitrochlear lymph node
C2197528  enlarged, mobile left epitrochlear lymph node (physical finding)
C2197529  enlarged, fixed left epitrochlear lymph node
C2197530  enlarged, tender left epitrochlear lymph node (physical finding)
C2197531  enlarged, suppurative left epitrochlear lymph node (physical finding)
C2197532  left epitrochlear lymphadenopathy with draining sinus tract
C2197533  consistency of bilaterally enlarged epitrochlear lymph nodes (physical finding)
C2197534  enlarged, rubbery epitrochlear lymph nodes bilaterally (physical finding)
C2197535  enlarged, fluctuant epitrochlear lymph nodes bilaterally
C2197536  enlarged, hard epitrochlear lymph nodes bilaterally
C2197537  enlarged, mobile epitrochlear lymph nodes bilaterally (physical finding)
C2197538  enlarged, fixed epitrochlear lymph nodes bilaterally
C2197539  enlarged, tender epitrochlear lymph nodes bilaterally (physical finding)
C2197540  enlarged, suppurative epitrochlear lymph nodes bilaterally
C2197541  bilateral epitrochlear lymphadenopathy with draining sinus tract
C2197542  enlarged, rubbery right inguinal lymph node (physical finding)
C2197543  enlarged, fluctuant right inguinal lymph node
C2197544  enlarged, hard right inguinal lymph node
C2197545  consistency of enlarged right femoral lymph node
C2197546  enlarged, rubbery right femoral lymph node (physical finding)
C2197547  enlarged, fluctuant right femoral lymph node (physical finding)
C2197548  enlarged, hard right femoral lymph node (physical finding)
C2197549  enlarged, mobile right femoral lymph node
C2197550  enlarged, fixed right femoral lymph node (physical finding)
C2197551  enlarged, tender right femoral lymph node
C2197552  enlarged, suppurative right femoral lymph node
C2197553  right femoral lymphadenopathy with draining sinus tract
C2197554  consistency of enlarged left femoral lymph node
C2197555  enlarged, mobile left femoral lymph node (physical finding)
C2197556  enlarged, fixed left femoral lymph node
C2197557  femoral lymph nodes enlarged left tender
C2197558  enlarged, suppurative left femoral lymph node
C2197559  left femoral lymphadenopathy with draining sinus tract
C2197560  consistency of bilaterally enlarged femoral lymph nodes
C2197561  enlarged, rubbery femoral lymph nodes bilaterally (physical finding)
C2197562  enlarged, fluctuant femoral lymph nodes bilaterally
C2197563  enlarged, hard femoral lymph nodes bilaterally
C2197564  enlarged, mobile femoral lymph nodes bilaterally (physical finding)
C2197565  enlarged, fixed femoral lymph nodes bilaterally (physical finding)
C2197566  enlarged, tender femoral lymph nodes bilaterally
C2197567  enlarged, suppurative femoral lymph nodes bilaterally (physical finding)
C2197568  bilateral femoral lymphadenopathy with draining sinus tract
C2197569  enlarged, rubbery right popliteal lymph node
C2197570  enlarged, fluctuant right popliteal lymph node
C2197571  enlarged, hard right popliteal lymph node (physical finding)
C2197736  erythema of right forearm at fingerstick site (physical finding)
C2197742  erythema of left forearm at fingerstick site
C2197886  dry abdominal wall incision
C2197887  incision of abdominal wall with uniform healing ridge
C2197888  abdomen tissue injury incision well-opposed edges
C2197889  erythematous incision of abdominal wall (physical finding)
C2197890  indurated incision of abdominal wall (physical finding)
C2197891  incision of abdominal wall with tube drainage
C2197892  abdominal tissue incision tube drainage of ___ ml per hour
C2197893  abdomen tissue injury incision tube drainage of ___ ml per day
C2197894  abdominal wall incision tube drainage of ___ ml total
C2198677  distance of abdominal tissue injury above pubic symphysis (physical finding)
C2198678  distance of abdominal tissue injury below costal margin
C2198679  tissue injury across lower abdomen (physical finding)
C2198680  multiple surgical scars on abdomen
C2198681  infra-umbilical tissue injury of abdomen (physical finding)
C2198682  tissue injury of inguinal region
C2198683  tissue injury of both inguinal regions (physical finding)
C2198684  tissue injury of left inguinal region (physical finding)
C2198685  tissue injury of right inguinal region (physical finding)
C2198686  tissue injury of flank (physical finding)
C2198687  tissue injury of both flanks (physical finding)
C2198688  tissue injury of left flank (physical finding)
C2198689  tissue injury of right flank
