C0020458  Hyperhidrosis
C2173762  ultrasound mass left breast superior lateral quadrant
C2173763  ultrasound mass left breast superior medial quadrant
C2173764  ultrasound L breast superior lateral quadrant mass 1 ___ cm
C2173765  ultrasound L breast SLQ mass 1 ___ cm cystic
C2173766  ultrasound left breast superior lateral quadrant mass #1 (___cm) solid
C2173767  ultrasound left breast superior lateral quadrant mass #2 (___cm)
C2173768  ultrasound L breast SLQ mass 2 ___ cm cystic
C2173769  ultrasound L breast SLQ mass 2 ___ cm solid
C2173770  ultrasound L breast superior lateral quadrant mass 3 ___ cm
C2173771  ultrasound L breast SLQ mass 3 ___ cm cystic
C2173772  ultrasound left breast superior lateral quadrant mass #3 (___cm) solid
C2173773  ultrasound L breast superior medial quadrant mass 1 ___ cm
C2173774  ultrasound L breast SMQ mass 1 ___ cm cystic
C2173775  ultrasound L breast SMQ mass 1 ___ cm solid
C2173776  ultrasound L breast superior medial quadrant mass 2 ___ cm
C2173777  ultrasound left breast superior medial quadrant mass #2 (___cm) cystic
C2173778  ultrasound L breast SMQ mass 2 ___ cm solid
C2173779  ultrasound L breast superior medial quadrant mass 3 ___ cm
C2173780  ultrasound left breast superior medial quadrant mass #3 (___cm) cystic
C2173781  ultrasound L breast SMQ mass 3 ___ cm solid
C2173838  ultrasound R breast inferior lateral quadrant mass 1 ___ cm
C2173839  ultrasound right breast inferior lateral quadrant mass #1 (___cm) cystic
C2173840  ultrasound R breast ILQ mass 1 ___ cm solid
C2173841  ultrasound right breast inferior lateral quadrant mass #2 (___cm)
C2173842  ultrasound right breast inferior lateral quadrant mass #2 (___cm) cystic
C2173843  ultrasound right breast inferior lateral quadrant mass #2 (___cm) solid
C2173844  ultrasound R breast inferior lateral quadrant mass 3 ___ cm
C2173845  ultrasound right breast inferior lateral quadrant mass #3 (___cm) cystic
C2173846  ultrasound right breast inferior lateral quadrant mass #3 (___cm) solid
C2173847  ultrasound right breast inferior medial quadrant mass #1 (___cm)
C2173848  ultrasound right breast inferior medial quadrant mass #1 (___cm) cystic
C2173849  ultrasound right breast inferior medial quadrant mass #1 (___cm) solid
C2173850  ultrasound R breast inferior medial quadrant mass 2 ___ cm
C2173851  ultrasound right breast inferior medial quadrant mass #2 (___cm) cystic
C2173852  ultrasound right breast inferior medial quadrant mass #2 (___cm) solid
C2173853  ultrasound right breast inferior medial quadrant mass #3 (___cm)
C2173854  ultrasound R breast IMQ mass 3 ___ cm cystic
C2173855  ultrasound right breast inferior medial quadrant mass #3 (___cm) solid
C2173856  ultrasound mass right breast inferior lateral quadrant
C2173857  ultrasound mass right breast inferior medial quadrant
C2173858  ultrasound mass right breast superior lateral quadrant
C2173859  ultrasound mass right breast superior medial quadrant
C2173860  ultrasound right breast superior lateral quadrant mass #1 (___cm)
C2173861  ultrasound R breast SLQ mass 1 ___ cm cystic
C2173862  ultrasound right breast superior lateral quadrant mass #1 (___cm) solid
C2173863  ultrasound right breast superior lateral quadrant mass #2 (___cm)
C2173864  ultrasound right breast superior lateral quadrant mass #2 (___cm) cystic
C2173865  ultrasound right breast superior lateral quadrant mass #2 (___cm) solid
C2173866  ultrasound right breast superior lateral quadrant mass #3 (___cm)
C2173867  ultrasound right breast superior lateral quadrant mass #3 (___cm) cystic
C2173868  ultrasound right breast superior lateral quadrant mass #3 (___cm) solid
C2173869  ultrasound right breast superior medial quadrant mass #1 (___cm)
C2173870  ultrasound R breast SMQ mass 1 ___ cm cystic
C2173871  ultrasound R breast SMQ mass 1 ___ cm solid
C2173872  ultrasound R breast superior medial quadrant mass 2 ___ cm
C2173873  ultrasound R breast SMQ mass 2 ___ cm cystic
C2173874  ultrasound R breast SMQ mass 2 ___ cm solid
C2173875  ultrasound R breast superior medial quadrant mass 3 ___ cm
C2173876  ultrasound right breast superior medial quadrant mass #3 (___cm) cystic
C2173877  ultrasound right breast superior medial quadrant mass #3 (___cm) solid
C2174420  angulated penile erection
C2174664  breast appearance nipple retraction right
C2174667  scales on right nipple (physical finding)
C2175582  mucoid cervical discharge
C2175925  desquamation on breast (physical finding)
C2175926  desquamation on right breast
C2175927  desquamation on superior lateral quadrant of right breast (physical finding)
C2175928  desquamation on inferior lateral quadrant of right breast
C2175929  desquamation on superior medial quadrant of right breast
C2175930  desquamation on inferior medial quadrant of right breast
C2175931  desquamation on left breast
C2175932  desquamation on superior lateral quadrant of left breast (physical finding)
C2175933  desquamation on inferior lateral quadrant of left breast
C2175934  desquamation on superior medial quadrant of left breast (physical finding)
C2175935  desquamation on inferior medial quadrant of left breast
C2175936  desquamation on both breasts
C2175937  desquamation on nipple
C2175938  desquamation on right nipple
C2175939  desquamation on left nipple (physical finding)
C2175940  desquamation on both nipples
C2175941  desquamation on areola (physical finding)
C2175942  desquamation on right areola (physical finding)
C2175943  desquamation on left areola (physical finding)
C2175944  desquamation on both areolae (physical finding)
C2175981  desquamation was seen on the scrotum
C2175982  desquamation of right side of scrotum (physical finding)
C2175983  desquamation of left side of scrotum (physical finding)
C2175984  desquamation of anterior aspect of scrotum
C2175985  desquamation of posterior aspect of scrotum (physical finding)
C2176002  desquamation on labia (physical finding)
C2176003  desquamation on right labia
C2176004  desquamation on left labia (physical finding)
C2176005  desquamation was seen on the labia bilaterally
C2180404  right costovertebral angle tenderness (physical finding)
C2180413  size of soft mass in ventral shaft of penis in cm
C2180414  penis mass ventral shaft firm (___ cm)
C2180415  penis mass ventral shaft hard (___ cm)
C2180416  mass on dorsal shaft of penis (physical finding)
C2183182  cystoscopy prostate lobe anterior hypertrophy w/ obstruction
C2183695  dimpling of inferior lateral quadrant of left breast (physical finding)
C2183696  dimpling of inferior medial quadrant of left breast (physical finding)
C2183697  dimpling of superior lateral quadrant of left breast
C2183698  dimpling of superior medial quadrant of left breast
C2183700  dimpling of inferior lateral quadrant of right breast
C2183701  dimpling of inferior medial quadrant of right breast (physical finding)
C2183702  dimpling of superior lateral quadrant of right breast
C2183703  dimpling of superior medial quadrant of right breast (physical finding)
C2183773  direct LLQ tenderness
C2184175  localized anhidrosis
C2184252  penis swelling localized
C2185961  low rectovaginal fistula (physical finding)
C2185963  low vesicovaginal fistula
C2187581  Rh incompatibility during pregnancy (history)
C2187956  abdomen umbilical stump bleeding
C2187957  abdomen umbilical stump discharge
C2187958  abdomen umbilical stump discharge purulent
C2187961  abdomen umbilical stump protracted postpartum attachment
C2187962  abdomen umbilical stump surrounding area
C2187963  abdomen umbilical stump surrounding area erythematous
C2187964  abdomen umbilical stump surrounding area swollen
C2187966  penis lesion papules umbilicated
C2188177  penis lesion ulcer multiple, uniform size (___ cm)
C2188572  vaginal discharge of urine (symptom)
C2188907  uterine prolapse grade ___/4
C2188925  uterus softening of corpus (Hegar's sign)
C2188970  vaginal cuff mass (physical finding)
C2188985  vaginal discharge of blood (physical finding)
C2188986  vaginal discharge of bright red blood
C2188987  vaginal discharge of brown blood (physical finding)
C2188988  vaginal discharge of clotting blood
C2188989  vaginal discharge of scant blood
C2188991  vaginal fourchette mass (physical finding)
C2189019  vagina laceration anterior wall (cm) actively bleeding
C2189020  vagina laceration anterior wall (cm) discharge
C2189021  vagina laceration anterior wall (cm) discharge mucous
C2189022  vagina laceration anterior wall (cm) discharge purulent
C2189023  size of laceration on anterior vaginal wall with serosanguineous discharge (physical finding)
C2189024  vagina laceration anterior wall (___ cm)
C2189025  vagina laceration anterior wall bilaterally (___ cm)
C2189026  vagina laceration anterior wall left (___ cm)
C2189027  vagina laceration anterior wall right (___ cm)
C2189028  vagina laceration fourchette (___ cm)
C2189029  vagina laceration posterior wall (cm) actively bleeding
C2189030  vagina laceration posterior wall (cm) discharge
C2189031  vagina laceration posterior wall (cm) discharge mucous
C2189032  vagina laceration posterior wall (cm) discharge purulent
C2189033  size of laceration on posterior vaginal wall with serosanguineous discharge
C2189034  vagina laceration posterior wall (___ cm)
C2189035  vagina laceration posterior wall bilaterally (___ cm)
C2189036  vagina laceration posterior wall left (___ cm)
C2189037  vagina laceration posterior wall right (___ cm)
C2189038  vagina laceration sidewall (cm) actively bleeding
C2189039  vagina laceration sidewall (cm) discharge
C2189040  vagina laceration sidewall (cm) discharge mucous
C2189041  vagina laceration sidewall (cm) discharge purulent
C2189042  vagina laceration sidewall (cm) discharge serosanguineous
C2189043  vagina laceration sidewall (___ cm)
C2189044  vagina laceration sidewall bilaterally (___ cm)
C2189045  vagina laceration sidewall left (___ cm)
C2189046  vagina laceration sidewall right (___ cm)
C2189087  vaginal ulcer with beefy red base
C2189088  vaginal ulcer with erythematous border (physical finding)
C2189089  vaginal ulcer with indurated edge (physical finding)
C2189090  vaginal ulcer with necrotic base (physical finding)
C2189091  vaginal ulcer with undermined edge (physical finding)
C2189271  penis erection angulated ventral (___ degrees)
C2189272  tender distal portion of ventral penile shaft
C2189273  ventral penile shaft tenderness of proximal portion (physical finding)
C2189374  verrucous papules of penis
C2195967  maceration on breast (physical finding)
C2195968  maceration on right breast
C2195969  maceration on superior lateral quadrant of right breast (physical finding)
C2195970  maceration on the breasts right inferior lateral quadrant
C2195971  maceration on superior medial quadrant of right breast
C2195972  maceration on the breasts right inferior medial quadrant
C2195973  maceration on the breasts left
C2195974  maceration on the breasts left superior lateral quadrant
C2195975  maceration on inferior lateral quadrant of left breast (physical finding)
C2195976  maceration on superior medial quadrant of left breast (physical finding)
C2195977  maceration on the breasts left inferior medial quadrant
C2195978  maceration on both breasts (physical finding)
C2195979  maceration on nipple (physical finding)
C2195980  maceration on right nipple
C2195981  maceration on the chest nipple(s) left
C2195982  maceration on both nipples
C2195983  maceration on areola
C2195984  maceration on right areola (physical finding)
C2195985  maceration on left areola (physical finding)
C2195986  maceration on both areolae
C2195993  maceration on scrotum
C2195994  maceration on right side of scrotum
C2195995  maceration on left side of scrotum (physical finding)
C2195996  maceration on anterior aspect of scrotum
C2195997  maceration on posterior aspect of scrotum
C2196014  maceration on labia (physical finding)
C2196015  maceration labia right
C2196016  maceration labia left
C2196017  maceration labia bilateral
C2197028  bilateral costovertebral angle tenderness (physical finding)
C2197691  penis hypospadias scrotal
C2197710  dimpling of skin of right breast (physical finding)
C2197711  dimpling of skin of left breast (physical finding)
C2197721  peau d'orange in both breasts (physical finding)
C2198814  distal dorsal extent of angulated penile erection in degrees (physical finding)
C2198815  distal lateral extent of angulated penile erection in degrees (physical finding)
C2198816  distal lateral extent of angulated penile erection to left in degrees
C2198817  distal lateral extent of angulated penile erection to right in degrees (physical finding)
C2198821  distal tenderness of lateral shaft of penis
C2198822  distal tenderness of left lateral shaft of penis (physical finding)
C2198823  penis tenderness shaft lateral distal right
C2198824  distal ventral extent of angulated penile erection in degrees (physical finding)
C2198976  the flow was absent to the left ovary
C2198977  the flow was absent to the right ovary
C2198978  the flow was increased to the left ovary
C2198979  the flow was increased to the right ovary
C2198980  color duplex Doppler ultrasound of ovaries: abnormal flow of ovaries
C2198983  dorsal extent of angulated penile erection in degrees
C2198984  dorsal penile shaft tenderness (physical finding)
C2198985  dorsal penile shaft tenderness of distal portion (physical finding)
C2198986  dorsal penile shaft tenderness of proximal portion (physical finding)
C2200463  right adnexal tenderness (physical finding)
C2200839  right breast incision number [1st, 2nd, etc.]
C2200840  incision of right breast with approximation of postsuture edges
C2200841  incision of right breast with poorly approximated postsuture edges
C2200842  incision of right breast with well approximated postsuture edges
C2200843  multiple incisions of right breast
C2200844  incision of right breast with adequately approximated postsuture edges (physical finding)
C2200846  ecchymotic tissue surrounding incision of right breast (physical finding)
C2200847  erythematous tissue surrounding incision of right breast
C2200848  fluctuant tissue surrounding incision of right breast
C2200849  foul smelling tissue surrounding incision of right breast
C2200850  indurated tissue surrounding incision of right breast (physical finding)
C2200851  swollen tissue surrounding incision of right breast (physical finding)
C2200852  tender tissue surrounding incision of right breast (physical finding)
C2200853  warm tissue surrounding incision of right breast
C2200854  mammogram microcalcifications of inferior lateral quadrant of right breast (procedure)
C2200855  mammogram microcalcifications of inferior medial quadrant of right breast (procedure)
C2200895  serosanguineous drainage from laceration of right breast
C2200904  mammogram mass #1 of inferior lateral quadrant of right breast BI-RADS category
C2200905  mammogram mass #2 of inferior lateral quadrant of right breast BI-RADS category (procedure)
C2200906  mammogram mass #3 of inferior lateral quadrant of right breast BI-RADS category (procedure)
C2200907  mammogram mass #1 of inferior medial quadrant of right breast BI-RADS category (procedure)
C2200908  mammogram mass #2 of inferior medial quadrant of right breast BI-RADS category
C2200909  mammogram mass #3 of inferior medial quadrant of right breast BI-RADS category
C2200910  mammogram mass #1 of superior lateral quadrant of right breast BI-RADS category (procedure)
C2200911  mammogram mass #2 of superior lateral quadrant of right breast BI-RADS category
C2200912  mammogram mass #3 of superior lateral quadrant of right breast BI-RADS category (procedure)
C2200913  mammogram mass #1 of superior medial quadrant of right breast BI-RADS category
C2200914  mammogram mass #2 of superior medial quadrant of right breast BI-RADS category
C2200915  mammogram mass #3 of superior medial quadrant of right breast BI-RADS category
C2200939  right breast tissue injury puncture
C2200940  puncture of right breast consistent with bullet entry wound with gunpowder residue
C2200941  right breast tissue puncture consist with bullet entry wound
C2200942  right breast tissue puncture consistent w/ bullet exit wound
C2200943  right breast tissue puncture consistent w/ entry bullet #___
C2200944  puncture of right breast consistent with entry wound of multiple bullets (physical finding)
C2200945  right breast tissue puncture consistent w/ exit bullet # ___
C2200946  puncture of right breast consistent with exit wound of multiple bullets (physical finding)
C2200947  right breast tissue injury puncture ice pick
C2200948  puncture of right breast consistent with entry wound of specified shrapnel fragment (#___) (physical finding)
C2200949  puncture of right breast consistent with entry wound of multiple shrapnel fragments (physical finding)
C2200950  puncture of right breast consistent with shrapnel entry wound (physical finding)
C2200951  puncture of right breast consistent with exit wound of specified shrapnel fragment (#___)
C2200952  puncture of right breast consistent with exit wound of multiple shrapnel fragments
C2200953  puncture of right breast consistent with shrapnel exit wound
C2200954  right breast tissue injury puncture erythema
C2200955  right breast tissue injury puncture knife
C2200956  right breast tissue injury puncture nail
C2200957  right breast tissue injury puncture needle
C2200958  right breast tissue injury puncture needle multiple
C2200959  right breast tissue injury puncture needle single
C2200960  right breast tissue injury puncture swelling
C2200961  right breast tissue injury puncture tenderness
C2200965  mammogram microcalcifications of superior lateral quadrant of right breast
C2200966  mammogram microcalcifications of superior medial quadrant of right breast
C2200967  incision of right breast with arterial bleeding (physical finding)
C2200968  inferior lateral to superior medial incision of right breast
C2200969  superior lateral to inferior medial incision of right breast
C2200970  incision of right breast with specified daily tube drainage (physical finding)
C2200971  incision of right breast with specified hourly tube drainage (physical finding)
C2200972  incision of right breast with specified total tube drainage
C2200973  incision of right breast with uniform healing ridge (physical finding)
C2200974  foul-smelling weeping incision of right breast (physical finding)
C2200975  serosanguineous drainage from incision of right breast (physical finding)
C2200976  incision of right breast with well-opposed edges (physical finding)
C2200980  bite of right breast
C2200982  incision of right breast (physical finding)
C2200983  incision of right breast with aligned margins (physical finding)
C2200984  bleeding incision of right breast
C2200985  incision of right breast with tissue bleeding (physical finding)
C2200986  incision of right breast with venous bleeding
C2200987  clean incision of right breast
C2200988  deep incision of right breast
C2200989  dehiscence of incision of right breast
C2200990  right breast tissue injury incision depth ___ mm
C2200991  direction of incision of right breast (physical finding)
C2200992  horizontal incision of right breast
C2200993  vertical incision of right breast (physical finding)
C2200994  dry incision of right breast
C2200995  edges of incision of right breast (physical finding)
C2200996  incision of right breast with ragged edges (physical finding)
C2200997  erythematous incision of right breast
C2200998  incision of right breast extending into muscle (physical finding)
C2200999  incision of right breast extending to bone
C2201000  incision of right breast extending to fascia
C2201001  full thickness incision of right breast
C2201002  indurated incision of right breast (physical finding)
C2201003  right breast tissue injury incision length ___ cm
C2201004  macerated incision of right breast
C2201005  open incision of right breast (physical finding)
C2201006  shape of incision of right breast
C2201007  angulated incision of right breast (physical finding)
C2201008  L-shaped incision of right breast (physical finding)
C2201009  V-shaped incision of right breast (physical finding)
C2201010  Y-shaped incision of right breast (physical finding)
C2201011  curvilinear incision of right breast (physical finding)
C2201012  irregularly shaped incision of right breast (physical finding)
C2201013  jagged incision of right breast (physical finding)
C2201014  straight incision of right breast (physical finding)
C2201015  incision of right breast with staples in place
C2201016  incision of right breast with sterile strips in place (physical finding)
C2201017  subcutaneous incision of right breast (physical finding)
C2201018  superficial incision of right breast (physical finding)
C2201019  incision of right breast with sutures in place (physical finding)
C2201020  incision of right breast with tube drainage (physical finding)
C2201021  unclean incision of right breast
C2201022  weeping incision of right breast
C2201023  bloody incision of right breast
C2201024  purulent incision of right breast (physical finding)
C2201025  serous drainage from incision of right breast
C2201026  well-healed incision of right breast (physical finding)
C2201027  right breast tissue injury incision width ___ cm
C2201059  avulsion of right breast
C2201073  weeping wound of right breast (physical finding)
C2201074  bloody wound of right breast (physical finding)
C2201075  purulent wound of right breast
C2201076  serous drainage from wound of right breast
C2201083  ultrasound breast abscess right breast
C2201084  ultrasound abscess right breast inferior lateral quadrant
C2201085  ultrasound abscess right breast inferior medial quadrant
C2201086  ultrasound abscess right breast superior lateral quadrant
C2201087  ultrasound abscess right breast superior medial quadrant
C2201088  ultrasound breast mass right breast
C2201090  wound bed of right breast with hard black eschar (physical finding)
C2201094  wound bed of right breast with soft black eschar (physical finding)
C2201109  ecchymotic tissue surrounding wound of right breast
C2201115  tender tissue surrounding wound of right breast (physical finding)
C2201121  foul-smelling weeping wound of right breast
C2201122  serosanguineous drainage from wound of right breast
C2201204  right cryptorchidism (physical finding)
C2201427  right ectopic testis (physical finding)
C2201428  testes ectopic right in high scrotal position
C2201429  right ectopic testis in inguinal region (physical finding)
C2201430  right ectopic testis in perineum
C2201543  epididymis mass right
C2202206  hydrocele of right scrotum
C2202383  labia majora laceration right depth
C2202384  labia majora laceration right edges
C2202385  labia majora laceration right edges ragged
C2202386  labia majora laceration right full thickness
C2202387  labia majora laceration right jagged
C2202388  labia majora laceration right L-shaped
C2202389  labia majora laceration right orientation
C2202390  labia majora laceration right orientation longitudinal
C2202391  labia majora laceration right orientation transverse
C2202392  postsuture edges of laceration on the right labia majora were adequately approximated
C2202393  postsuture approximation of laceration edges on the right labia majora
C2202394  labia majora laceration right postsuture edges poorly app
C2202395  postsuture edges of laceration on the right labia majora were well-approximated
C2202396  labia majora laceration right shape
C2202397  labia majora laceration right straight line
C2202398  labia majora laceration right superficial (epidermal only
C2202399  labia majora laceration right V-shaped
C2202400  labia majora laceration right Y-shaped
C2202401  labia minora laceration right depth
C2202402  labia minora laceration right edges
C2202403  labia minora laceration right edges ragged
C2202404  labia minora laceration right full thickness
C2202405  labia minora laceration right jagged
C2202406  labia minora laceration right L-shaped
C2202407  labia minora laceration right orientation
C2202408  labia minora laceration right orientation longitudinal
C2202409  labia minora laceration right orientation transverse
C2202410  postsuture edges of laceration on the right labia minora were adequately approximated
C2202411  postsuture approximation of laceration edges on the right labia minora
C2202412  labia minora laceration right postsuture edges poorly app
C2202413  postsuture edges of laceration on the right labia minora were well-approximated
C2202414  labia minora laceration right shape
C2202415  labia minora laceration right straight line
C2202416  labia minora laceration right superficial (epidermal only
C2202417  labia minora laceration right V-shaped
C2202418  labia minora laceration right Y-shaped
C2202793  vulvar ulcer with beefy red base
C2202794  vulvar ulcer with erythematous border
C2202795  vulvar ulcer with indurated edge
C2202796  vulvar ulcer with necrotic base
C2202797  vulvar ulcer with undermined edge (physical finding)
C2202819  warmth of both breasts
C2202824  warmth of breast (symptom)
C2202894  warmth of left breast (symptom)
C2202939  warmth of right breast (symptom)
C2202973  watery cervical discharge
C2205816  lump or mass of right breast
C2205817  lump or mass of left breast
C2210346  PET scan L breast superior lateral quadrant mass 1 ___ cm
C2210347  left breast superior lateral quadrant mass 2
C2210348  left breast superior lateral quadrant mass 3
C2215748  allergic vaginal reaction to semen (history)
C2218507  right scrotal edema
C2218508  hematoma of right scrotum
C2218509  scrotum laceration right
C2218510  scrotum laceration right depth
C2218511  scrotum laceration right edges
C2218512  scrotum laceration right edges ragged
C2218513  scrotum laceration right to fascia
C2218514  scrotum laceration right to fat
C2218515  scrotum laceration right to muscle
C2218516  scrotum laceration right extending into testicle
C2218517  scrotum laceration right to tunica vaginalis
C2218518  scrotum laceration right full thickness
C2218519  scrotum laceration right jagged
C2218520  scrotum laceration right L-shaped
C2218521  scrotum laceration right shape
C2218522  scrotum laceration right straight line
C2218523  scrotum laceration right superficial (epidermal only)
C2218524  scrotum laceration R postsuture edge adequately approximated
C2218525  scrotum laceration right edges postsuture approximation
C2218526  scrotum laceration R postsuture edges poorly approximated
C2218527  scrotum laceration right postsuture edges well-approximated
C2218528  scrotum laceration right V-shaped
C2218529  scrotum laceration right Y-shaped
C2218531  mass in right scrotum
C2218532  right scrotal tenderness (physical finding)
C2218796  atrophic right testis
C2218797  testes mass right
C2218800  tender right testis
C2219173  right varicocele
C2219180  right vulvar mass
C2219713  first menstrual period before age 9
C2219723  abnormal milky nipple discharge
C2223874  normal pregnancy delivery with cervical laceration (treatment)
C2223875  normal pregnancy delivery with cervical laceration at specified location
C2224928  meibomianitis of right upper eyelid
C2224929  grade of meibomianitis of right upper eyelid
C2224930  meibomianitis of right lower eyelid (physical finding)
C2224931  grade of meibomianitis of right lower eyelid (physical finding)
C2224932  meibomianitis of left upper eyelid (physical finding)
C2224933  grade of meibomianitis of left upper eyelid
C2224934  meibomianitis of left lower eyelid
C2224935  grade of meibomianitis of left lower eyelid
C2224936  meibomianitis of both eyelids (physical finding)
C2225049  obstetrical findings contractions duration (physical finding)
C2225050  obstetrical findings contractions quality (physical finding)
C2225051  obstetrical findings contractions quality mild (physical finding)
C2225052  obstetrical findings contractions quality strong
C2225054  obstetrical findings contractions quality irregular
C2225085  epididymis mass bilateral
C2225089  sebaceous cysts of right scrotum
C2225090  sebaceous cysts of left scrotum
C2225091  sebaceous cysts of both scrotum (physical finding)
C2225092  bilateral scrotal hematomas (physical finding)
C2225093  laceration of scrotum bilaterally (physical finding)
C2225097  bilateral varicoceles
C2225104  firm penile erection (physical finding)
C2225105  size of largest of multiple penile ulcers of varying sizes in cm
C2225106  size of mass in proximal part of ventral shaft of penis in centimeters
C2225107  penis mass ventral shaft distal (___ cm)
C2225108  penis mass ventral shaft irregular borders (___ cm)
C2225109  size of mass in ventral shaft of penis that protrudes through skin in centimeters
C2225110  size of fixed mass in ventral shaft of penis in cm
C2225111  size of mass in proximal part of dorsal shaft of penis in centimeters
C2225112  penis mass dorsal shaft distal (___ cm)
C2225113  size of soft mass in dorsal shaft of penis in centimeters
C2225114  penis mass dorsal shaft firm (___ cm)
C2225115  penis mass dorsal shaft hard (___ cm)
C2225116  penis mass dorsal shaft irregular borders (___ cm)
C2225117  penis mass dorsal shaft protrudes through skin (___ cm)
C2225118  penis mass dorsal shaft fixed (___ cm)
C2225119  size of mass in lateral shaft of penis in centimeters
C2225120  size of mass in proximal part of lateral shaft of penis in centimeters
C2225121  size of mass in distal part of lateral shaft of penis in cm
C2225122  size of soft mass in lateral shaft of penis in centimeters
C2225123  size of firm mass in lateral shaft of penis in centimeters
C2225124  size of hard mass in lateral shaft of penis in centimeters
C2225125  size of irregular mass in lateral shaft of penis in cm
C2225126  size of mass in lateral shaft of penis that protrudes through skin in centimeters
C2225127  size of fixed mass in lateral shaft of penis in centimeters
C2225128  size of mass in proximal part of right lateral shaft of penis in cm
C2225129  penis mass lateral shaft proximal left side (___ cm)
C2225130  size of mass in distal part of right lateral shaft of penis in centimeters
C2225131  size of mass in distal part of left lateral shaft of penis in centimeters
C2225132  size of mass in ventral glans penis in cm
C2225133  penis mass glans dorsal (___ cm)
C2225134  penis mass glans lateral (___ cm)
C2225135  penis mass glans lateral right side (___ cm)
C2225136  size of mass in left lateral glans penis in centimeters
C2225137  size of mass in foreskin of penis in cm
C2225138  size of mass in ventral foreskin of penis in centimeters
C2225139  size of mass in dorsal foreskin of penis in cm
C2225140  size of mass in lateral foreskin of penis in centimeters
C2225141  size of mass in right lateral foreskin of penis in centimeters
C2225142  size of mass in left lateral foreskin of penis in centimeters
C2225169  bilateral scrotal tenderness
C2225170  bilateral scrotal masses
C2225171  tenderness of both testes
C2225347  vesicovaginal fistula mid
C2225385  galactorrhea of right breast
C2225386  galactorrhea of left breast
C2225391  abnormal secretion of bloody fluid from right breast
C2225392  abnormal secretion of bloody fluid from left breast (physical finding)
C2225475  erythema of right breast (physical finding)
C2225476  erythema of superior lateral quadrant of right breast (physical finding)
C2225477  erythema of inferior lateral quadrant of right breast (physical finding)
C2225478  erythema of superior medial quadrant of right breast
C2225479  erythema of inferior medial quadrant of right breast
C2225480  erythema of left breast
C2225481  erythema of superior lateral quadrant of left breast (physical finding)
C2225482  erythema of inferior lateral quadrant of left breast (physical finding)
C2225483  erythema of superior medial quadrant of left breast
C2225484  erythema of inferior medial quadrant of left breast
C2225511  mass of labia majora
C2225512  mass of right labia majora
C2225513  mass of left labia majora
C2225514  mass of labia minora
C2225515  mass of right labia minora (physical finding)
C2225516  labia minora mass left
C2225526  galactorrhea of right breast involving single duct
C2225527  galactorrhea of right breast involving multiple ducts
C2225528  galactorrhea of left breast involving single duct
C2225529  galactorrhea of left breast involving multiple ducts
C2225534  abnormal secretion of bloody fluid from one duct of right breast (physical finding)
C2225535  abnormal secretion of bloody fluid from multiple ducts of right breast (physical finding)
C2225536  abnormal secretion of bloody fluid from one duct of left breast (physical finding)
C2225537  abnormal secretion of bloody fluid from multiple ducts of left breast (physical finding)
C2225936  skin tag of right breast (physical finding)
C2225937  skin tag on superior lateral quadrant of right breast (physical finding)
C2225938  skin tag on inferior lateral quadrant of right breast (physical finding)
C2225939  skin tag on superior medial quadrant of right breast (physical finding)
C2225940  skin tag on inferior medial quadrant of right breast (physical finding)
C2225941  skin tag on left breast (physical finding)
C2225942  skin tag on superior lateral quadrant of left breast
C2225943  skin tag on inferior lateral quadrant of left breast (physical finding)
C2225944  skin tag on superior medial quadrant of left breast
C2225945  skin tag on inferior medial quadrant of left breast (physical finding)
C2225946  skin tag of both breasts
C2225947  skin tag of nipple (physical finding)
C2225948  skin tag of right nipple
C2225949  skin tag of left nipple (physical finding)
C2225950  skin tag of both nipples (physical finding)
C2225951  skin tag of areola
C2225952  skin tag of right areola (physical finding)
C2225953  skin tag of left areola (physical finding)
C2225954  skin tag of both areolae (physical finding)
C2225992  skin tag of scrotum
C2225993  skin tag of right scrotum (physical finding)
C2225994  skin tag of left scrotum
C2225995  skin tag of anterior aspect of scrotum (physical finding)
C2225996  skin tag of posterior aspect of scrotum (physical finding)
C2226008  skin tag of labia
C2226009  skin tag of right side of labia (physical finding)
C2226010  skin tag of left side of labia
C2226011  skin tag of labia bilaterally
C2227369  testes ectopic bilaterally
C2227370  bilateral ectopic testes in perineum
C2227371  bilateral ectopic testis in high scrotal position
C2227372  bilateral ectopic testis in inguinal region
C2227373  nonpalpable right spermatic cord
C2227374  non-palpable left spermatic cord (physical finding)
C2227375  both spermatic cords non-palpable
C2227376  vulvar mass right fluctuant
C2227377  vulvar mass right mobile
C2227378  vulvar mass right fixed
C2227379  vulvar mass left fluctuant
C2227380  mobile left vulvar mass
C2227381  fixed left vulvar mass
C2227382  vaginal mass anterior wall
C2227383  mass of right anterior wall of vagina
C2227384  mass of left anterior wall of vagina (physical finding)
C2227385  mass of posterior wall of vagina (physical finding)
C2227386  vaginal mass posterior wall right
C2227387  mass of left posterior wall of vagina
C2227388  fixed vaginal mass (physical finding)
C2227389  vaginal mass mobile
C2227390  mid rectovaginal fistula (physical finding)
C2228113  enlarged vaginal introitus (physical finding)
C2228769  penis mass ventral shaft
C2229544  serpiginous penile ulcer
C2229547  vaginal ulcer serpiginous
C2229548  serpiginous vulvar ulcer (physical finding)
C2230264  abnormal secretion of bloody fluid from breast
C2230349  penis lesion ulcer single (___ cm)
C2230350  multiple penile ulcers of varying sizes
C2230351  size of mass in glans penis in cm
C2230356  single vulvar ulcer
